{'descr': '暖气哗啦啦的响', 'star': 4}
{'descr': '酒店位置挺好的，方便', 'star': 5}
{'descr': '在首师北一校区边上，很近，走路就到，总体不错。', 'star': 5}
{'descr': '安全，前台服务态度好，暖气流水的声音后来也修好了，就是没有窗有点闷。', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '其他方面都挺好的，只是暖气里一直有流水的声音，影响睡眠，还有没有窗会闷一点。', 'star': 5}
{'descr': '六个字太多啦', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '如家一贯的干净卫生，住的时间很短，其他无体验。', 'star': 4}
{'descr': '不错不错不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '511浴室没有帘，服务倒是ok.', 'star': 5}
{'descr': '交通方便，房间整洁，出行方便', 'star': 5}
{'descr': '最开始是看好了地理位置，到很多学校都很方便，离地铁口和公交站都相当近。入住后真的出乎意料的不错，环境很好，前台的姑娘很亲切，入住什么的都办得蛮及时。设施还是很新的，冬天也很暖，卫生打扫也够及时。就一点，于是能加个浴帘吗，洗澡的时候到处喷水略困扰呃，，，', 'star': 5}
{'descr': '很不错，态度很好，地段也不错，离地铁六号线很近', 'star': 5}
{'descr': '花园桥附近，离花园桥地铁站走路十分钟，周围吃饭很方便。住的靠马路的房间，有个阳台被封死，房间空间就小了。晚上比较不安静。', 'star': 3}
{'descr': '环境还可以，够住', 'star': 5}
{'descr': '酒店不错，很好！', 'star': 5}
{'descr': '如家正常配置，价格还可以', 'star': 5}
{'descr': '地方不错，服务人员态度相当好', 'star': 5}
{'descr': '地方不错，服务人员态度相当好', 'star': 5}
{'descr': '房间不错，网速快，还有无线网', 'star': 4}
{'descr': '卫生，服务很好，安静，安全。', 'star': 5}
{'descr': '房间比想象中的小，不过一就是如家的好品质。', 'star': 3}
{'descr': '房间整洁，布置温馨，内无异味。可惜因下雨街区停电，等了二小时。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '性价比高，安静，舒适，但交通不算太方便，没有地铁直达。', 'star': 5}
{'descr': '经济型酒店,比较干净，但无窗的感觉不太好，有点压抑~', 'star': 5}
{'descr': '服务较好，环境一般！希望多做活动哟！加油↖(^ω^)↗', 'star': 5}
{'descr': '房间很小，而且有异味，感觉很不舒服。隔音效果很差，还好只住一晚上。', 'star': 3}
{'descr': '还不错,服务态度挺好的，就是特价房光线很差，白天也要开灯，房间很小，价格略贵', 'star': 5}
{'descr': '还可以，就是觉得有点小贵，房间还是很小的', 'star': 5}
{'descr': '比较安静，隔音应该还好，就是我定的房间有点小。', 'star': 5}
{'descr': '位置不好找，不过还算便宜                        啊', 'star': 5}
{'descr': '酒店的房间很温馨，服务员的态度很好，总体感觉不错', 'star': 3}
{'descr': '还可以把，就是没有窗户有点闷，总体来说还行。', 'star': 5}
{'descr': '很好找，房间太小了，总体不错', 'star': 3}
{'descr': '酒店还不错，希望每个房间的隔音效果再好点~', 'star': 5}
{'descr': '环境还可以，不过吧有一个缺点就是洗发水不好，洗了头发是色的，还没有护发素，这个不太好，其他综合还算可以', 'star': 3}
{'descr': '环境不错，就是隔音效果有点儿不好~希望改进', 'star': 5}
{'descr': '服务不错，房间干净整洁，也好找。就是有装修，吵人。房间没想的大，1米5的床', 'star': 3}
{'descr': '如家隔壁什么时候能装修完啊，装修了好久啊，电钻声音好大啊，好吵啊。', 'star': 5}
{'descr': '整体还行，隔音不太好。', 'star': 3}
{'descr': '住的很舒服，房间很温馨，感觉很好，隔音效果也还可以！！！', 'star': 5}
{'descr': '整理感觉还不错，房间不大，但很舒适，服务也很好。', 'star': 5}
{'descr': '这家店靠马路边，大床房有窗的非常吵，而且用的空调很差，隔壁房间的外机吵了一晚上，搞的睡觉都没睡好。早上的早餐东西很少，没有咖啡，没有油条豆浆，馒头也是凉的，也没有新鲜的水果。肯定不会再来的。', 'star': 1}
{'descr': '隔音效果一般，隔壁的客人半夜在玩牌听的一清二楚。早上六点左右就听见装修的声音。没有制造一个安静的环境。睡眠质量不是很好。', 'star': 3}
