{'descr': '不错哦', 'star': 5}
{'descr': '棒棒的', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '很久以前住过一次，现在在去，感觉比之前旧了很多', 'star': 5}
{'descr': '性价比很高，还有停车场，周围很少酒店带停车场的', 'star': 5}
{'descr': '不错～挺好～', 'star': 5}
{'descr': '不错！挺好～', 'star': 5}
{'descr': '前台服务态度差，房间真的很小，很后悔，以后肯定不会再来了。', 'star': 1}
{'descr': '酒店服务和卫生是一塌糊涂，伙伴们千万不要入住，不然倒霉的肯定是你们自己', 'star': 1}
{'descr': '适合一个人居住，岁处在闹市区，但夜间非常安静，就是被子太薄，现在天气转凉，特别夜间比较冷，建议更换厚一点的被子。', 'star': 4}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好啊好', 'star': 5}
{'descr': '住的还不错，推荐给大家一下。挺适合。', 'star': 5}
{'descr': '不错不错不错不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '非常满意', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '网上找的地方，比较实惠的地方，也比较方便，很好找。去坐公汽到别的地方游玩也不错的。附近正在装修，有些吵。', 'star': 5}
{'descr': '前次住过，比较实惠的地方，也比较方便，很好找。去坐公汽到别的地方游玩也不错的。就是附近正在装修，有些吵。', 'star': 5}
{'descr': '酒店的服务及卫生弄的什么差。不知道该酒店为啥不整改，非要打电话投诉到你们总公司去嘛搞不懂这家加盟店的老板怎么想的', 'star': 1}
{'descr': '酒店马马虎虎，服务态度生硬，', 'star': 1}
{'descr': '服务很好，设施相对简单', 'star': 4}
{'descr': '非常好的酒店，酒店大堂很干净。前台员工服务热情，回答问题很有耐心，提供指引服务，主动介绍苏州交通旅游路线，服务非常好。酒店店长也非常热情。酒店工程师傅帮我们停车非常有耐心，主动帮我们拿行李，提醒我们关好门窗。介绍酒店周边的特色餐馆，很温馨，服务很好。客房布置温馨，房间设施设备干净，走廊地毯非常干净，垃圾桶也很干净，床上用品花色的看上去舒服，房间浴巾毛巾干净洁白，柔软。卫生间地面，墙面干净，面盆特别', 'star': 5}
{'descr': '不好不好不好不好不好不好不好不好不好不好不好不好', 'star': 1}
{'descr': '标间是非常小的一个房间，里面什么也没有。所谓的桌子也只是一块隔板。退了，花同样的价钱在如家住了。', 'star': 2}
{'descr': '还是不错的，虽然是小了一点，只有8个左右平方，但是51价格肯定要贵一点，所 以说可以接受！', 'star': 4}
{'descr': '蛮温馨的 布局不错 周边交通方便 就是洗漱用品的话 2人不够用啊 不过下次的话还是会来的', 'star': 5}
{'descr': '前台服务员太蠢！态度差！非常不满意，大家都别住', 'star': 1}
{'descr': '不错，下次来还会光临，但会换个大房间！8-12平的房间实在太小', 'star': 5}
{'descr': '地理位置优越，离观前街、拙政、狮子，博物馆都比较近', 'star': 5}
{'descr': '服务人员态度很好，房间是住过的布丁中很不错的', 'star': 3}
{'descr': '一个人住相当好了，就是电脑硬件差了点，不好用，可惜了这么好的网速；如果洗手间能加个槅门，两个人住也是很好的', 'star': 5}
{'descr': '位置很好，公交车站牌就在门口。旁边是城隍庙，很有古城气息。酒店的风格很有朝气，前台服务很好。装修风格这些都相当的年轻化，进门给人一种愉快轻松的感觉。房间就是有点小，但是装饰很Q，很卡通，很喜欢。不过没有提供免费的洗漱用品，有点不方便。', 'star': 5}
{'descr': '就在观前街前面，超级方便，去火车站和景点也特别近，很不错，条件也很棒，是旅行来住的最好的', 'star': 5}
{'descr': '酒店位置优越，去到哪里都很方便，环境也很好，下次还会再来', 'star': 5}
{'descr': '大床房好小 收费太高 不推荐  和其他连锁无法相比', 'star': 1}
{'descr': ' 还不错 ', 'star': 3}
{'descr': '以前去杭州的时候住西湖边上的布丁，很赞，单人间很宽敞，环境又好。\n于是这次去苏州也定了布丁，没想到温馨大床房是如此的小！！！ 无语了。。。。\n不过服务，卫生什么的都不错。', 'star': 5}
{'descr': '垃圾,小，脏，各种不好~这样的价格这样的房间~开玩笑一样的', 'star': 1}
{'descr': '服务制胜 小巧精致 地理位置很好 而且很干净 ', 'star': 5}
{'descr': '前台态度好差', 'star': 3}
{'descr': '房间的确很迷你 不过还蛮干净的哟 前台的姑娘和小哥都挺可爱的 >0<', 'star': 5}
{'descr': '位置还不错，出门很方便~~~~~~~~~~~~', 'star': 5}
{'descr': '标间还不错哟，单人间比较迷你。位置还不错~~~~~~', 'star': 5}
{'descr': '酒店卫生环境都不错，价格经济实惠，酒店位置也很不错，周围很繁华，很适合我们年轻人住，尤其是工作人员服务态度很好\n', 'star': 5}
{'descr': '酒店位置很好，房间干净简洁，总体感觉还是很好的', 'star': 5}
{'descr': '晚上十点左右到的，在城隍庙旁边，还比较好找，出来走几步就是公交站，地理位置不错，前台很贴心的赠送了一次性洗漱用品还有一瓶水。订的大床房，有电视盒电脑，房间不大，但一个人出行位置足够。总的来说性价比不错。', 'star': 5}
{'descr': '酒店卫生环境都不错，价格经济实惠，酒店位置也很不错，周围很繁华，很适合我们年轻人住', 'star': 5}
{'descr': '还不错，地方虽然小了点，还是很干净的，服务也很好', 'star': 5}
{'descr': '位置临近观前街（虽然街上没啥特别的，几乎所有城市都有的步行街），交通方便，房间比较小，但挺整洁的。', 'star': 5}
{'descr': '环境干净，前台还给换了升级为大床A……非常感谢', 'star': 3}
{'descr': '小就一个字，什么都不提供，塞在p和d里的毛巾还有油漆印，洗发水沐浴露都需前台购买，床很硬，二期可能新装修的味道也大，过道的隔音效果也一般。', 'star': 1}
{'descr': '布丁酒店房间比较小，但挺干净，离观前街很近，不足的地方是上网速度太慢了，基本是上不去！', 'star': 3}
{'descr': '地理位置太优越了', 'star': 3}
{'descr': ' 2328房间wifi信号太差了，完全不能上网！', 'star': 3}
{'descr': '服务不错，交通方便。就是房间小点，无线非常不好用。。。。', 'star': 5}
