{'短评内容': '确实是睡觉的好地方', '短评打分': 5}
{'短评内容': '还行吧…一般般', '短评打分': 4}
{'短评内容': '房间太恐怖了，居然没两道锁，浴室没有门的，环境太差了', '短评打分': 3}
{'短评内容': '还行吧！冲凉的水太小了！床垫不舒服，而且清洁药水味很重，闻起来不舒服。房间只有一张椅子，如果可以增加一组沙发更好些。', '短评打分': 3}
{'短评内容': '不错。。', '短评打分': 5}
{'短评内容': '房间挺大的，很干净舒适', '短评打分': 5}
{'短评内容': '这间店太老，环境不好，房间异味太重，价格偏高', '短评打分': 3}
{'短评内容': '非常完美的服务，感谢京东', '短评打分': 5}
{'短评内容': '荆轲坎坎坷坷快快快古古怪怪', '短评打分': 5}
{'短评内容': '环境还可以，就是有点吵', '短评打分': 5}
{'短评内容': '酒店位置很好，停车方便，前台服务很热情，房间很大，很干净整洁。设施齐全。整体很满意，以后还会再来的！', '短评打分': 5}
{'短评内容': '环境好，服务好，房间大，卫生干净，设施齐全，早餐品种多，味道好，这个价格住的很优惠，整体很满意，以后还会来的！值得推荐！', '短评打分': 5}
{'短评内容': '交通方便，位置很好很明显，服务热情，房间', '短评打分': 5}
{'短评内容': '酒店位置好找，后面是步行街，附近有大型商业广场，酒店服务还好，停车场不大，晚了就没位，还好路边可停车，房间烟味较大，如果有无烟房选择就好，洗手间排气扇不工作，有点味道。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很赞，住的很满意，服务好，卫生干净，早餐丰盛！值得推荐！', '短评打分': 5}
{'短评内容': '酒店环境很棒，设施齐全，服务超好，卫生也是干净整洁！住的很舒心，还会再来的！', '短评打分': 5}
{'短评内容': '出差都是住城市便捷酒店，连锁店品牌还不村，服务很热情，卫生很干净，值得推荐！', '短评打分': 5}
{'短评内容': '环境好，服务热情，位置很明显，房间干净，设施齐全，这个价住的很优惠，还会来的！', '短评打分': 5}
{'短评内容': '朋友第一次住，位置很好找，服务很热情，房间空间很大，卫生干净整洁，设施齐全，还有早餐可以吃，味道还不错…整体很满意，还会来的', '短评打分': 5}
{'短评内容': '还行吧，比较满意', '短评打分': 4}
