{'短评内容': '挺好的在，，，', '短评打分': 5}
{'短评内容': '地理位置方便，周围吃的也多', '短评打分': 5}
{'短评内容': '地理位置优越，周围吃的地方也多', '短评打分': 5}
{'短评内容': '我会借给你1T1爹1额1第二二题为你', '短评打分': 3}
{'短评内容': '性价比高，停车位不多', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '距离太远，没住到，钱已经付了', '短评打分': 5}
{'短评内容': '随便发几个字条&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个宾馆我们住了好多次  我在合肥工作  每次老公来我们都住这  方便  卫生', '短评打分': 5}
{'短评内容': '性价比可以，停车不方便', '短评打分': 3}
{'短评内容': '一般般吧，性价比还可以', '短评打分': 3}
{'短评内容': '還可以吧，一分錢一分貨', '短评打分': 3}
{'短评内容': '设施非常到位，而且感觉很舒适', '短评打分': 5}
{'短评内容': '酒店不错，我经常住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以的。非常不错！', '短评打分': 5}
{'短评内容': '每次都来住，前台的美女真好！房间也干净，价格也便宜！', '短评打分': 3}
{'短评内容': '虽小 但是干净', '短评打分': 5}
