{'短评内容': '位置很好，就是房间该装修了', '短评打分': 4}
{'短评内容': '周边交通海挺方便的', '短评打分': 4}
{'短评内容': '家庭公寓，舒适透气', '短评打分': 5}
{'短评内容': '条件差，设施全是坏的，服务热情不周到！', '短评打分': 4}
{'短评内容': '很好，环境不错，空间大，主要是屋里设施太全了！', '短评打分': 5}
{'短评内容': '不很规范，，', '短评打分': 4}
{'短评内容': '很好，', '短评打分': 5}
{'短评内容': '老板服务还不错，就是洗澡设施简陋了点，别的还好', '短评打分': 4}
{'短评内容': '设施不新  但是店主挺好的', '短评打分': 3}
{'短评内容': '有环境不错 老板人也不错', '短评打分': 5}
{'短评内容': '环境还可以，服务态度很好，地点也不错，周边吃饭非常方便，交通便利！适合家庭入住。比较满意！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间很大很宽敞，卫生条件一般，服务蛮好', '短评打分': 3}
{'短评内容': '太简陋 床板很硬 沙发很硬 坐便根本没擦 更别说消毒了 晚上满地跑蟑螂 吓死了 一次恐怖的住宿经历 以后不会再选这种公寓了', '短评打分': 1}
{'短评内容': '老板娘很热情', '短评打分': 3}
{'短评内容': '很好。。。。有种家的感觉。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很宽敞！服务也不错！我住住在高层！二十九楼！夜景也不错！八十分吧！', '短评打分': 3}
{'短评内容': '这家根本就不能算作酒店式公寓。它就是个家庭旅馆！！！请要预定的人好好衡量信价比之后再决定。', '短评打分': 1}
{'短评内容': '其实就是住家，现在是旺季，太贵了，平时可能只要100多，就还好！床是很硬，但就是一般的住家，很简单。\n楼下就是电子城对面，晚上都是烧烤~很好', '短评打分': 5}
