{'短评内容': '住宿条件还不错 毕竟比较老的店了 ', '短评打分': 5}
{'短评内容': '酒店位置很便利，离呼家楼地铁站超近～cbd中心区域，酒店老品牌，历史悠久，房间出乎意料的整洁干净，性价比超高，服务员态度很好，房间安静～值得推荐～', '短评打分': 5}
{'短评内容': '位置优越，方便！', '短评打分': 5}
{'短评内容': '呼家楼，位置绝对优越，附近玩的很多，很nice', '短评打分': 5}
{'短评内容': '呼家楼宾馆环境好，服务非常好，交通方便，', '短评打分': 5}
{'短评内容': '价格比较便宜，房间比较小，不能加床，交通便利', '短评打分': 4}
{'短评内容': '此地装修还是不错，中式风格，自带大会议室，上午还是不错，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '就是地理优势 其他买什么好的', '短评打分': 4}
{'短评内容': '交通位置很方便，呼家楼出口米就到了。中央电视台离这也不远。酒店设施比较老了，卫生间也比较小。卫生打扫还行。', '短评打分': 4}
{'短评内容': '可以外宾入住，记得带护照就可以。', '短评打分': 4}
{'短评内容': '每次逗留时间不长，整体舒适度尤为重要。这次的房间较大，格局怪怪的，即使空调开着，不觉得热，商务出行还是选较小的房间好', '短评打分': 4}
{'短评内容': '整体不错！房间不大但挺干净', '短评打分': 4}
{'短评内容': '去了被告知无房了，酒店免费升级了家庭房，整体感觉不错', '短评打分': 5}
{'短评内容': '住一晚就行', '短评打分': 4}
{'短评内容': '交通便利，空调温度适宜', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '第一次住在这个酒店，地理位置比较好，出行方便，酒店环境还可以，空调很好，硬件配置一般。', '短评打分': 4}
{'短评内容': '一般般啊一般般啊！！！！！！！', '短评打分': 3}
{'短评内容': '主要是离办事的地方近，没有特殊', '短评打分': 5}
{'短评内容': '交通方便，不错的选择，同事们很满意。', '短评打分': 5}
{'短评内容': '，整体不错', '短评打分': 3}
{'短评内容': '交通方便、距地铁呼家楼站仅50米，服务好、干净、下次还会选择', '短评打分': 5}
{'短评内容': '地理位置比较好，地铁很方便，交通便利，房内有温泉水，可以免费享受温泉的待遇，价格比较始终，饮食的选择也比较多。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店价格也贵，设施太旧太老，房间也不规则，让我的客户住得好不开心。在那么好的位置真是有点太可惜了，建议赶紧装修一下，不能的话住一次不会去第二的。', '短评打分': 1}
{'短评内容': '交通比较方便，比较静谧。在北京市中心这个价格很实在', '短评打分': 5}
{'短评内容': '交通方便，比邻地铁，床还算舒服，这样的性价比也就这样还行。', '短评打分': 5}
{'短评内容': '价格比自己去店直接入住的还贵，还没早餐。接连几天因为锅炉大修，热水也没有。性价比太低太低。', '短评打分': 1}
{'短评内容': '最近几个月常来北京出差，住过相近价位的很多北京宾馆，感觉本店的性价比的整体水平一般般……', '短评打分': 1}
{'短评内容': '位置较好，就在地铁出口。价格稍贵，房间内设施较老，有烟味。', '短评打分': 5}
{'短评内容': '  设施不错，交通方便，出门便可享用北京小吃，欧了。', '短评打分': 3}
{'短评内容': '房间比较干净，面积也不算小，适合一家三口住。', '短评打分': 5}
{'短评内容': '\n房间太吵。。。。。。卫生间马桶坏的，预订入住三晚，结果住一晚就退房。。。。。', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '据称有温泉，但水温不够。房间偏小，房价过高。性价比不高。', '短评打分': 5}
{'短评内容': '位置特别好，挨着地铁，服务员也很不错，不过可能时间比较久，房间设施略显陈旧，住的套房，洗手间是日式的一体小洗手间，挺不错倒是干净，不过在中国有点点奇怪，，，，，还是有点偏贵，而且竟然停车还收费！', '短评打分': 5}
{'短评内容': '非常不错，紧挨着地铁边，主要是安静，小巷子往里走，离东三环马路有段距离，晚上睡觉关了窗户基本是什么都听不见了。性价比还好，房间也不错，要是能带早餐就更好了。', '短评打分': 5}
{'短评内容': '很喜欢那的服务，总台的乐于助人让我印象很深！唯一有点遗憾床好小！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地理位置比较便利，大门口旁边就是地铁十号线呼家楼站。但房间很小、很压抑，卫生还不错。', '短评打分': 1}
{'短评内容': '宾馆有温泉，很享受，房间干净卫生，每天都有人负责打扫，住着很放心，值得表扬。', '短评打分': 5}
{'短评内容': '大厅和房间里都有一些绿色植物，又养眼又健康，感觉很舒服。', '短评打分': 5}
{'短评内容': '酒店条件还行，整体来看还是不错的，当时是就近选择的.距离会展中心比较近.位置还可以.', '短评打分': 5}
{'短评内容': '酒店离地铁很近，出行方便，房间设施比较齐全，完全够用，不错。', '短评打分': 5}
{'短评内容': '设施陈旧,房间有异味，服务一般', '短评打分': 1}
{'短评内容': '温泉不错 就是楼下购物吃饭不是很方便', '短评打分': 5}
