{'短评内容': '还是不错的 位置也很好', '短评打分': 5}
{'短评内容': '空调外机太吵了，别人开空调，外机挂在我们窗口，整的我们一晚上都没休息好。', '短评打分': 4}
{'短评内容': '服务好，房间干净，只要出门一直都相信如家', '短评打分': 5}
{'短评内容': '出门的时候一直就定的如家，环境好，服务好又卫生，很期待这次的旅行！', '短评打分': 5}
{'短评内容': '不开心', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '楼上有家KTV，晚上容易影响客人休息，其他的都比较满意', '短评打分': 4}
{'短评内容': '房間設施不錯', '短评打分': 5}
{'短评内容': 'KTV太吵', '短评打分': 5}
{'短评内容': '服务还可以，环境一般，不过这个价格做到这样可以了', '短评打分': 4}
{'短评内容': '还不错，一如既往，房子有点小，其他都还好～！', '短评打分': 4}
{'短评内容': '挺好的！！服务很赞！！第二次住了！！', '短评打分': 4}
{'短评内容': '房间不是一般的小', '短评打分': 4}
{'短评内容': '就是房间很小', '短评打分': 4}
{'短评内容': '房间太小了点，其它还好！', '短评打分': 4}
{'短评内容': '房间有点小，床有点窄，卫生条件不错的！', '短评打分': 4}
{'短评内容': '房间挺精致，设施齐全。就是洗漱用品要单独买。', '短评打分': 5}
{'短评内容': '这家酒店很友爱，第一次住，送我洗漱用品。那服务很好呀。', '短评打分': 5}
