{'descr': '还可以，干净，', 'star': 5}
{'descr': '还不错挺好的', 'star': 5}
{'descr': '免费升级不错啊', 'star': 5}
{'descr': '环境很好，交通便利', 'star': 5}
{'descr': '在繁华地段这样的房价不错了，周边吃得多，就是房间环境一般。', 'star': 4}
{'descr': '还可以，房间比较干净，灯光略暗，要是有点吃的就好了，我还跑出去买肯德基了…冷死人了', 'star': 5}
{'descr': '挺不错的，最主要是干净', 'star': 5}
{'descr': '地铁附近，停车收费', 'star': 5}
{'descr': '非常好，非常棒，性价比特别高', 'star': 5}
{'descr': '出差住的，可以，性价比还不错', 'star': 4}
{'descr': '服务好，房间整洁', 'star': 5}
{'descr': '帮领导的司机定的，因为自己要在北京玩几天，特地选择了地铁边的这个如家，出行方便。每次写五十字实在太多了。', 'star': 4}
{'descr': '挺好，经常订这家', 'star': 4}
{'descr': '配套设施很齐全', 'star': 5}
{'descr': 'very good hotel, because people who working there is really AWESOME ', 'star': 5}
{'descr': '酒店位于北京市朝阳区东三环附近交通便利', 'star': 4}
{'descr': '酒店位于北京市朝阳区东三环附近交通便利', 'star': 4}
{'descr': '位置不错，交通很方便，整体还算不错的，就是卫生一般。', 'star': 5}
{'descr': '挨地铁线较近', 'star': 4}
{'descr': '酒店性价比很好！房间温度舒适。', 'star': 5}
{'descr': '订单确认太慢~~~~~~~', 'star': 4}
{'descr': '环境挺干净的，设备齐全，就是稍微感觉有些潮湿，窗户外面是个墙有点压抑感', 'star': 3}
{'descr': '交通方便，离地铁10号线很近，公交换挺方便。前台接待的服务态度也很好，以后还会入住。就是周末房间价格高。', 'star': 5}
{'descr': '如家很令人失望，已经沦落为小旅馆招待所的档次了。入住时居然厕板上还沾着尿，整天有人从门缝里塞**卡片，摆明了酒店是监守自盗！今后坚决不会再住了，也不会推荐朋友和同事入住！\r\nＰＳ：另外，酒店房间隔音实在太差，隔壁房间“唉呦。。。唉呦”之声不时传来，烦透人了！！！', 'star': 1}
{'descr': '总体服务态度很好 房间也很整洁 这次来面签 离得比较近 很不错哦\n', 'star': 5}
{'descr': '太糟糕了，脏，乱，差，卫生间散发霉味，抽油烟机轰轰转，这还是升级版商务间，实在太差了', 'star': 3}
{'descr': '北京雙井如家服務超差，前台服務員脾氣超大！', 'star': 3}
{'descr': '酒店环境不错，家人来经常住这里，出门就是双井富力购物中心，旁边有老妈兔头，很喜欢', 'star': 5}
{'descr': '酒店门前停车太不方便，门脸太小，不注意根本看不到，', 'star': 1}
{'descr': '酒店前堂太小，卫生不错，网络不稳定，门前没有停车位', 'star': 5}
{'descr': '房间还可以，外观太小，不注意看不到，目前订车太紧张', 'star': 5}
{'descr': '酒店一般，床很大，但是相对来说价格却比较高，网络很不稳定', 'star': 1}
{'descr': '网络很不稳定，前台服务一般，酒店一般，若不是开两会绝对不会住', 'star': 5}
{'descr': '交通方便，价格还可以,电视台少了一点 .房间环境挺好\n', 'star': 5}
{'descr': '干净卫生好，交通方便，前台值班人员不足，晚间大堂光线不好', 'star': 5}
{'descr': '干净、整洁、交通方便，就是房间小了一点，电视台也少了一点', 'star': 5}
{'descr': '交通方便，价格还可以。房间有点小，比较干净卫生。', 'star': 5}
{'descr': '秉承如家的一贯作风，还是比较满意，值得推荐！', 'star': 5}
{'descr': '总体来讲，床很大，但是相对来说价格却比较的高!', 'star': 5}
{'descr': '设施陈旧，卫生也不好，而且很冷，空调不给力，电视是坏的，浴室的淋浴头想小孩小便一样。性价比比隔壁的汉庭低了很多。能多付30元的，建议还是去隔壁的汉庭比较好，物有所值，真的。', 'star': 1}
{'descr': '地理位置不错，交通方便，房间环境也挺好。', 'star': 5}
{'descr': '总体还可以，就是个别顾客太淘气，睡觉有影响!哈哈!', 'star': 3}
{'descr': '酒店位置在三环地铁口，交通方便，适合来北京短期商务', 'star': 5}
{'descr': '其他都OK，就是无聊的小广告啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '其他都OK，就是无聊的小广告啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '太热了，暖气太足了，只能开窗户才能缓解一下室内的天气', 'star': 5}
{'descr': '太热了，暖气太足了，只能开窗户才能缓解一下室内的天气', 'star': 5}
{'descr': '如家双井店。环境较好，离商业区较近，交通也蛮方便。房间内部还好了。就是发小广告的太多了。', 'star': 5}
{'descr': '如家双井店。环境较好，离商业区较近，交通也蛮方便。房间内部还好了。就是发小广告的太多了。', 'star': 5}
{'descr': '酒店很好，希望价格能再低些', 'star': 3}
{'descr': '酒店很好，希望价格能再低些', 'star': 3}
{'descr': '还不错，地段也好，就是夜里赛卡片的太多了', 'star': 5}
{'descr': '还不错，地段也好，就是夜里赛卡片的太多了', 'star': 5}
{'descr': '第二次住了，情况尚好。条件一般，和这个价位相符。', 'star': 5}
{'descr': '第二次住了，情况尚好。条件一般，和这个价位相符。', 'star': 5}
{'descr': '酒店交通方便，在地铁10号线C出口，适合外地到北京旅游', 'star': 5}
{'descr': '酒店交通方便，在地铁10号线C出口，适合外地到北京旅游', 'star': 5}
{'descr': '优点：交通比较方便，离地铁站双进站步行5分钟。缺点：酒店装修总体感觉比较一般；每天都有人偷偷塞一些黄色宣传卡片，出入管理十分不严格。', 'star': 5}
{'descr': '优点：交通比较方便，离地铁站双进站步行5分钟。缺点：酒店装修总体感觉比较一般；每天都有人偷偷塞一些黄色宣传卡片，出入管理十分不严格。', 'star': 5}
{'descr': '已入住，很好，交通方便', 'star': 3}
{'descr': '已入住，很好，交通方便', 'star': 3}
{'descr': '这个酒店有三差：（1）居住环境差。屋里有味道，夜里停电好几次，太热了，导致睡眠不好；（2）服务态度差，前台人员让客人等在一边也不及时接待，开发票的时候，反而从最后来的客人开起，导致我第一个去退房的最后才拿到发票。耽搁时间，差点误了我行程。（3）安全管理差。每次一开门，门缝里掉下一大堆黄色小广告，不知怎么管的。', 'star': 1}
{'descr': '这个酒店有三差：（1）居住环境差。屋里有味道，夜里停电好几次，太热了，导致睡眠不好；（2）服务态度差，前台人员让客人等在一边也不及时接待，开发票的时候，反而从最后来的客人开起，导致我第一个去退房的最后才拿到发票。耽搁时间，差点误了我行程。（3）安全管理差。每次一开门，门缝里掉下一大堆黄色小广告，不知怎么管的。', 'star': 1}
{'descr': '房间很干净，就是发广告的很讨厌。', 'star': 3}
{'descr': '房间很干净，就是发广告的很讨厌。', 'star': 3}
{'descr': '如家一贯的风格 性价比不错 离三环有些近 稍微有些吵', 'star': 5}
{'descr': '如家一贯的风格 性价比不错 离三环有些近 稍微有些吵', 'star': 5}
{'descr': '酒店在双井地铁C出口，位置好', 'star': 3}
{'descr': '酒店在双井地铁C出口，位置好', 'star': 3}
{'descr': '没有标志说明浴室里的两瓶液体是什么， 很麻烦。不过总体还是很不错的。', 'star': 5}
{'descr': '没有标志说明浴室里的两瓶液体是什么， 很麻烦。不过总体还是很不错的。', 'star': 5}
{'descr': '这次住的是无窗的房，开始感觉不太好，不过有壁挂式空调也就无所谓了，前台服务员培训没做好就上岗了，让我等了好久。', 'star': 5}
{'descr': '这次住的是无窗的房，开始感觉不太好，不过有壁挂式空调也就无所谓了，前台服务员培训没做好就上岗了，让我等了好久。', 'star': 5}
{'descr': '还不错，交通方便，价格便宜', 'star': 3}
{'descr': '还不错，交通方便，价格便宜', 'star': 3}
{'descr': '我定的是商务大床房，进屋一看，吓我一跳，整个房间放了张2米的大床后就没有多少空间了，虽说该酒店的地理位置还可以在三环边，离地铁十号线比较近，但也不能这么小啊，而且房价也不便宜。', 'star': 1}
{'descr': '我定的是商务大床房，进屋一看，吓我一跳，整个房间放了张2米的大床后就没有多少空间了，虽说该酒店的地理位置还可以在三环边，离地铁十号线比较近，但也不能这么小啊，而且房价也不便宜。', 'star': 1}
{'descr': '酒店位置很好,房间不大但够用.如果配备吹风机就好了', 'star': 3}
{'descr': '酒店位置很好,房间不大但够用.如果配备吹风机就好了', 'star': 3}
{'descr': '交通方便，紧邻东三环中路，离地铁10号线双井站只有500米', 'star': 5}
{'descr': '交通方便，紧邻东三环中路，离地铁10号线双井站只有500米', 'star': 5}
{'descr': '感觉还不错', 'star': 3}
{'descr': '感觉还不错', 'star': 3}
{'descr': '交通便捷  卫生条件良好  空气干热  我入住的单人间存在噪声问题', 'star': 3}
{'descr': '经常在这住了，房间比较干净，就是房间小了点，总体来说性价比还是比较高的。', 'star': 5}
{'descr': '交通方便，地理位置好，价格便宜，适合外地到北京办事住宿', 'star': 5}
{'descr': '酒店在双井地铁C出口，交通非常方便，酒店设施一如如家风格', 'star': 3}
{'descr': '位置优越、服务到位、价格合适，唯一的缺点房间太小！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '有暖气，很暖和，挺干净的，还不错', 'star': 3}
{'descr': '位置还不错，服务也还好，价格适中。。。。。', 'star': 5}
{'descr': '酒店在动三环，交通方便，临近地铁10号线，是在北京经济型酒店中比较不错的', 'star': 5}
{'descr': '地点交通便利，房间烟味严重，有色情广告。', 'star': 5}
{'descr': '干净但是窗口外面就是墙', 'star': 5}
{'descr': '地理位置很好，房间干净', 'star': 5}
{'descr': '房间比其他一些如家的房间要小，不过经济型酒店嘛就是这个样子，看个人需求喽。', 'star': 1}
{'descr': '不好太吵了床太硬', 'star': 5}
{'descr': '这个钱估计也就这样了，    不过还算干净吧。', 'star': 5}
{'descr': 'i hold a foreign mobile phone and requested reception to call a cab for me in the morning but was told they do not provide this service, come on. is a simple job i dont see what is it so difficult. it', 'star': 1}
{'descr': '在北京找到这种性价比的酒店还真不不太好找。呵呵', 'star': 5}
{'descr': '还可以，没事可以在这里住一下，交通方便！', 'star': 5}
{'descr': ' 已入住\u3000感觉还好\u3000', 'star': 5}
{'descr': '总体来说还是不错的！特别是交通比较方便！', 'star': 3}
{'descr': '住的还是比较满意的。。电视没有数字机顶盒。只能收到有限的几个台。。入住没几个小时就有人从门缝发小卡片。这叫人有点崩溃……', 'star': 5}
{'descr': '住的还是比较满意的。。电视没有数字机顶盒。只能收到有限的几个台。。入住没几个小时就有人从门缝发小卡片。这叫人有点崩溃……', 'star': 5}
{'descr': '酒店位置很好，其他一般。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店位置很好，其他一般。。。。。。。。。。。。。。', 'star': 5}
{'descr': '通过网站提前4天预订，并确认信息。客人到前台之后既然没有保留，实在可恶至极。以后不再推荐朋友去住', 'star': 1}
{'descr': '通过网站提前4天预订，并确认信息。客人到前台之后既然没有保留，实在可恶至极。以后不再推荐朋友去住', 'star': 1}
{'descr': 'ok啦！！', 'star': 3}
{'descr': 'ok啦！！', 'star': 3}
{'descr': '电梯声真的很巨大', 'star': 5}
{'descr': '电梯声真的很巨大', 'star': 5}
{'descr': '电梯声音像打雷', 'star': 1}
{'descr': '电梯声音像打雷', 'star': 1}
{'descr': '别的都是次要的，关键是方便啊。而且价位可以接受。', 'star': 5}
{'descr': '别的都是次要的，关键是方便啊。而且价位可以接受。', 'star': 5}
{'descr': '位置非常好，离地铁、公交都比较近。性价比还可以。', 'star': 5}
{'descr': '位置非常好，离地铁、公交都比较近。性价比还可以。', 'star': 5}
{'descr': '位置还是不错的，整体都还行，二店是原来别的店改的，房间有点小~~环境也没法跟别的店可比，不过价格也相对便宜一些~', 'star': 5}
{'descr': '位置还是不错的，整体都还行，二店是原来别的店改的，房间有点小~~环境也没法跟别的店可比，不过价格也相对便宜一些~', 'star': 5}
{'descr': '位置地处三环边，出行比较方便。晚上还可以出来逛一逛，比较繁华', 'star': 5}
{'descr': '位置地处三环边，出行比较方便。晚上还可以出来逛一逛，比较繁华', 'star': 5}
{'descr': '交通比较方便', 'star': 5}
{'descr': '交通比较方便', 'star': 5}
{'descr': 'OK', 'star': 5}
{'descr': 'OK', 'star': 5}
{'descr': '服务、卫生很一般，不要住地下室的房间，很潮湿', 'star': 3}
{'descr': '服务、卫生很一般，不要住地下室的房间，很潮湿', 'star': 3}
{'descr': '地理位置优越，条件一般，出行方便', 'star': 5}
{'descr': '地理位置优越，条件一般，出行方便', 'star': 5}
{'descr': '还可以了，凑合着住还行', 'star': 1}
{'descr': '还可以了，凑合着住还行', 'star': 1}
{'descr': '这个价位勉强吧', 'star': 5}
{'descr': '这个价位勉强吧', 'star': 5}
{'descr': '价格也不便宜，服务也很一般，以后基本不会住这里了。', 'star': 1}
{'descr': '价格也不便宜，服务也很一般，以后基本不会住这里了。', 'star': 1}
{'descr': '位置不错，交通方便', 'star': 5}
{'descr': '位置不错，交通方便', 'star': 5}
{'descr': '还算不错吧~', 'star': 5}
{'descr': '还算不错吧~', 'star': 5}
