{'短评内容': '经济实惠好', '短评打分': 5}
{'短评内容': '干净卫生出差住宿好地方', '短评打分': 4}
{'短评内容': '经济实惠不错', '短评打分': 3}
{'短评内容': '住着还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '打牌好去处', '短评打分': 5}
{'短评内容': '连续预定了3天', '短评打分': 4}
{'短评内容': '房间订多了一天，也不能退款', '短评打分': 4}
{'短评内容': '服务态度极差，携程不提供订单号，没有客服电话处理住房问题，网上价格比门市价还贵，太黑了，以后不会在携程上定房了，失望到极点，这是最后一次', '短评打分': 1}
{'短评内容': '非常非常满意的一次入住体验，不能更好。 房间很干净，摆设布置也不错，周边很安静。 非常舒适的酒店，室内设施完备，地点适中。 各项服务也都比较专业，感觉很舒服温馨。', '短评打分': 5}
{'短评内容': '第二次入住了，就是一个套一的房间，很大，干净', '短评打分': 3}
{'短评内容': '挺好的！！！！！！！！！！', '短评打分': 3}
{'短评内容': '酒店位置不错，旁边有好多吃饭的地方，房间还算干净', '短评打分': 3}
{'短评内容': '非常好，推荐！推荐！推荐！', '短评打分': 3}
{'短评内容': '还不错，推荐入住！不给开发票～', '短评打分': 3}
{'短评内容': '房间内设施新且齐全，非常不错，值得一住！', '短评打分': 5}
{'短评内容': '非常棒的酒店，设备很新。', '短评打分': 3}
