{'短评内容': '服务不行', '短评打分': 4}
{'短评内容': '不错哦不错', '短评打分': 5}
{'短评内容': '位置方便', '短评打分': 4}
{'短评内容': '酒店位置还不错，出行和吃东西都比较方便。最让人吐槽的是停车位太少，只有20多个，基本上不可能停在酒店的停车场。去对面停也不方便，路面较窄，掉头不方便。如果自驾游，一定要提前联系并要酒店方面确保有停车位。还有就是酒店卫生间没有抽排风设施，那味道，你懂的。', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '满意。。。。。', '短评打分': 5}
{'短评内容': '服务态度一般', '短评打分': 2}
{'短评内容': '房间很大，利用电梯公寓改建的吧。楼下停车场很早就告知没有了，走很远才能到指定的免费车场。卫生间也大但是没有排气扇，地面较滑。旁边三家酒店都是这一个品牌，还算比较适合的，国庆长假没办法。', '短评打分': 4}
{'短评内容': '多次入住，不错', '短评打分': 5}
{'短评内容': '酒店比较干净，但是稍微有点吵，房间不是很隔音', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比高性价比高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
