{'短评内容': '挺好的吧。', '短评打分': 5}
{'短评内容': '房间有点小，别的还行，隔音一般，就这。', '短评打分': 5}
{'短评内容': '第三次入住了，感觉很不错', '短评打分': 5}
{'短评内容': '还可以吧，就是房间不隔音', '短评打分': 4}
{'短评内容': '非常满意，喜欢如家的风格，住着舒适，干净，很赞', '短评打分': 5}
{'短评内容': '服务热情，干净卫生，舒适安静，非常满意。', '短评打分': 5}
{'短评内容': '繁华地带还可以', '短评打分': 5}
{'短评内容': '还行吧，携程上定的，房间不是很大，对得起这个价格', '短评打分': 5}
{'短评内容': '不错，前台态度很好，房间也不错，该有的都有', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '很干净的，地方，', '短评打分': 5}
{'短评内容': '得得得得得多', '短评打分': 5}
{'短评内容': '啊啊啊啊啊擦擦擦擦擦擦吧', '短评打分': 5}
{'短评内容': '1不错值得住', '短评打分': 5}
{'短评内容': '不错都很方便', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '很不错，性价比高，楼层高了会听到风机声音大', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '很好服务很好', '短评打分': 5}
{'短评内容': '第二次入住，没有上次舒心。以后只有换一家酒店', '短评打分': 5}
{'短评内容': '在快捷酒店里算是很不错的，服务很好', '短评打分': 5}
{'短评内容': '晚上有按摩特服电话骚扰', '短评打分': 4}
{'短评内容': '晚上有按摩特服电话骚扰', '短评打分': 3}
{'短评内容': '希望改进下啊', '短评打分': 4}
{'短评内容': '比我入住其他的如家脏一些啊！还有就是啊！门卡一直是有问题啊！开会就得等10几分钟啊', '短评打分': 3}
{'短评内容': '地理位置好，环境不错', '短评打分': 3}
{'短评内容': '很好，挺实回', '短评打分': 3}
{'短评内容': '房间超多，和其他的如家都差不多，干净舒适，推荐入住', '短评打分': 5}
{'短评内容': '价格适中，环境一般，但服务态度很好，下次仍会选择这里！', '短评打分': 3}
{'短评内容': '哎，房间真不怎么地，一股子烟味。服务人员业务也不熟练。', '短评打分': 1}
{'短评内容': '怎一个差字了得，我的商务大床房小就不用说了。睡觉之前我拍死了五只蚊子。空调温度打到最低，结果2点半还是被蚊子咬了4个包醒来，醒来后我接着拍死了3只蚊子睡觉。早上起床居然还能拍死一只蚊子。想不明白，10多平米的小房间里怎么会有那么多的蚊子，由此可见这酒店的卫生差到何种程度。被子上还有圆珠笔画的印子，网线也是坏的也不能上网。从此宁愿流浪南阳街头，也绝不再住这家如家酒店，这如家不像家，像垃圾场！', '短评打分': 1}
{'短评内容': '交通方便，服务态度不错，周围购物比较方便。住着非常安静。', '短评打分': 5}
{'短评内容': '房间住着还不错，交通也很方便，下次来时还选择如家。', '短评打分': 5}
{'短评内容': '整体服务还是不错的，每个服务员包括经理见了都会问好。地处繁华地带，交通方便。\n美中不足的就是为什么特惠房不带早餐？早餐也用不了多少钱吧。\n另外就是特惠房适合年轻人住，年纪大一点的要选优窗户的，要不房间里有点闷。\n', '短评打分': 5}
{'短评内容': '总体还可以，服务质量很高，门卡有待提高。', '短评打分': 5}
{'短评内容': '..可以感觉舒服，下次再来住', '短评打分': 3}
{'短评内容': '性价比还可以了，交通也比较便利。就是房间有些太小了', '短评打分': 5}
{'短评内容': '服务态度超好呢, 房间里非常干净, 并且打扫卫生的大姐也非常的热心, 处在非常繁华的商业街区.  下次一定还会来入住.', '短评打分': 5}
{'短评内容': '酒店服务还可以，就是房间有点小！房间内设施有些陈旧！', '短评打分': 3}
{'短评内容': '新开的不错，除了隔音不好，其他不错。', '短评打分': 3}
{'短评内容': '如家 总体肯定是不错的 房间细节不如其他城市的店', '短评打分': 5}
{'短评内容': '服务态度很好,处于繁华的商业街当中, 下次入住一定还会选择如家, 15楼餐厅的饭菜非常的好吃哦.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店环境不错，设施也挺好的，前台工作人员很热情！', '短评打分': 5}
{'短评内容': '宽带比较给力，试了下，下载东西能有700K/S ，但是没好意思下，怕影响整个酒店的网速。隔音效果差了点，隔壁房间说话声，电视声，都能听到。总体不错。 ', '短评打分': 5}
{'短评内容': '不错环境 交通便利就是房间有点小', '短评打分': 3}
{'短评内容': '总体很不错，只是我们这间比同事那间小了些，不如同事的那间舒服，电视也不能看，不过总体来说如家还是很不错的。', '短评打分': 5}
{'短评内容': '第一次住如家，这里很方便，地理位置比较好，出门买东西比较方便。我们到酒店的时候还不到入住时间，但是只要打扫好了，就可以提前进入房间，房间里的设施很温馨，很有家的感觉，很满意，网速很快，就是地方有点小。', '短评打分': 5}
{'短评内容': '大床房房间有点小，马桶漏水。', '短评打分': 3}
{'短评内容': '该酒店处于市中心，交通、购物非常方便，房间虽然不大，但干净整洁，唯一缺点没有停车位！', '短评打分': 5}
{'短评内容': '很方便也很实惠，不错', '短评打分': 3}
{'短评内容': '很不错，整洁，周到，温馨！物美价实！感谢！', '短评打分': 5}
{'短评内容': '南阳的如家还不错的啦  值得推荐  服务也很不错', '短评打分': 5}
