{'短评内容': '不怎么样。。', '短评打分': 4}
{'短评内容': '各方面都不咋地', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还是要不要不开心的话，我的人都有一个人', '短评打分': 5}
{'短评内容': '还是要不要不开心的话，我的人都有一个人的', '短评打分': 5}
{'短评内容': '舒服又好看', '短评打分': 5}
{'短评内容': '多次入住，性价比高', '短评打分': 4}
{'短评内容': '挺好的，价格也合适，', '短评打分': 4}
{'短评内容': '挺好的非常满意的，可以推荐的', '短评打分': 4}
{'短评内容': '安逸的', '短评打分': 5}
{'短评内容': '房间设施确实需要改善', '短评打分': 5}
{'短评内容': '房间大，卫生干净，', '短评打分': 5}
{'短评内容': 'good', '短评打分': 1}
{'短评内容': '还行吧，一般', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
