{'短评内容': '房间很适用', '短评打分': 5}
{'短评内容': '初次使用，迎接朋友的，不错', '短评打分': 5}
{'短评内容': '服务有改善', '短评打分': 5}
{'短评内容': '停车位很少，周围要自己找位置。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '非常满意的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '早餐很差。其他还行。', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '不错，环境，就是有点小，其他可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错的酒店。房间和卫生间都很干净！比较注意细节！', '短评打分': 5}
