{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '还行，没早餐', '短评打分': 5}
{'短评内容': '周边吃早餐方便，如庆丰包子铺', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '电视坏了却没通知，想询问前台却电话都坏了，老远走到前台却对一坏二坏理所当然一样，还找个和的争论，也要说那个肮脏的水壶，会死人的，这是品牌酒店？', '短评打分': 2}
{'短评内容': '没有早餐，位置还可以', '短评打分': 5}
{'短评内容': '总体还可以，就是北京的环境卫生还不如小城市', '短评打分': 4}
{'短评内容': '产品很捧，手机查下价，京东和其它的价位差不多，第一次在京东预订酒店，方便下单，好评!!!', '短评打分': 4}
{'短评内容': '感觉，住的不舒服', '短评打分': 5}
{'短评内容': '房间味道难闻', '短评打分': 5}
{'短评内容': '一点都不好。太破', '短评打分': 5}
{'短评内容': '不错，位置好找，价格便宜，方便。', '短评打分': 5}
{'短评内容': '在北京这个价格是比较合适的。', '短评打分': 5}
{'短评内容': '比较干净，主要价格比较合适。', '短评打分': 5}
{'短评内容': '挺好的房间很干净我们一家人住正好', '短评打分': 5}
{'短评内容': '距离地铁很近，洗澡水很热，卫生干净，设施齐全。', '短评打分': 5}
{'短评内容': '距离地铁很近，设施齐全，洗澡水很热，满意。', '短评打分': 5}
{'短评内容': '位置有点偏僻，是老城区，临近棚户区，交通状况比较差。优点是周边各种店铺比较齐全。衣食住行都有，稍微走一段就是方庄美食街。店内情况没问题，速八还是可以的，关键市价格实', '短评打分': 4}
{'短评内容': '没有窗户，屋里会有些味道，总体还行一般', '短评打分': 5}
{'短评内容': '酒店干净，离地铁站近，出行方便。就是住二楼能听见楼下风机响，觉清的人睡不太好。其他都不错，祝生意兴隆！', '短评打分': 4}
{'短评内容': '干净，热情，好，速8就是好', '短评打分': 5}
{'短评内容': '挺好的 就是地点偏 物有所值', '短评打分': 5}
{'短评内容': '还可以经常住。', '短评打分': 5}
{'短评内容': '还不错 比想象的好', '短评打分': 5}
{'短评内容': '在北京这个价位很不错了', '短评打分': 4}
{'短评内容': '旁边环境不咋样，还有个医院，但是吃东西的地方倒是不少。酒店设备很旧了，空间小。交通不是很方便，离地铁远。', '短评打分': 3}
{'短评内容': '酒店附近吃饭的地方很多，还有很多小摊，虽然周围的环境一般，但是交通还算是便利，有公交站，地铁站做车的话10分钟也到了，前台的服务很好的，有免费的北京地图。', '短评打分': 5}
{'短评内容': '很干净，地理位置很好，适合出行', '短评打分': 5}
{'短评内容': '卫生可以。地址太偏了。打车不好打 离地铁也远', '短评打分': 3}
{'短评内容': '周边环境脏乱差……其他的还好……酒店服务人员都没跟前台确认房间里是否有人入住，敲门后立刻打开进来，感觉很不愉快！总觉得如果客人不在房间服务人员会无缘由进来做什么谁知道呢……', '短评打分': 1}
{'短评内容': ' 酒店房间比较大，离超市很近，很好的酒店。', '短评打分': 3}
{'短评内容': '酒店设施陈旧，价格不便宜，到好处在于返卷额度大', '短评打分': 5}
{'短评内容': '离大前门的距离不近。。。。。周边环境很好。', '短评打分': 5}
{'短评内容': ' 酒店位置不错，离机场巴士车站较近，附近吃饭的地方也很多。', '短评打分': 3}
{'短评内容': '酒店房间很小，而且很脏，居然还没电梯，这种酒店怎么值两百多一天', '短评打分': 1}
{'短评内容': '比较方便，卫生也还可以，就是房间稍微有点小。推荐吧。', '短评打分': 5}
{'短评内容': '酒店很好，挺干净，交通也便利！不错', '短评打分': 3}
{'短评内容': '房间虽然没有准备拖鞋，但服务态度好，结账也快', '短评打分': 5}
{'短评内容': '到了酒店升级的套房，不错，服务不错，也比较干净', '短评打分': 5}
{'短评内容': '地点挺方便，配套设施齐全。', '短评打分': 5}
{'短评内容': '到酒店比较晚，预订就告诉要大床房，到了酒店说是升级的房型，但是房间比较小，周边环境还可以', '短评打分': 5}
{'短评内容': '酒店房间还算宽敞，周边商户众多价格实惠。还不错，下次还会来住。', '短评打分': 3}
{'短评内容': '环境不错，周围吃饭购物都很方便，价格不贵', '短评打分': 5}
{'短评内容': '位置还比较满意，就是房间小了点', '短评打分': 3}
{'短评内容': '这个店真安静，在北京找这样的地方不容易了，何况价格也不贵。下次肯定还会去。', '短评打分': 5}
{'短评内容': '还可以。离地铁远点,小卖部的东西太贵了。', '短评打分': 5}
{'短评内容': '房间大，通风，卫生条件也好，价格合适，值！', '短评打分': 3}
{'短评内容': ' 还可以。离地铁远点。', '短评打分': 3}
{'短评内容': '环境不错，美中不足就是位置偏点不好找 不过离三环还算近了', '短评打分': 5}
