{'短评内容': '酒店环境较好，服务特别周到！商务中心物价几乎平价！', '短评打分': 5}
{'短评内容': '环境好，设施有些陈旧。去崆峒山比较方便', '短评打分': 4}
{'短评内容': '夏天来景色肯定美美的！', '短评打分': 5}
{'短评内容': '感觉没以前服务好了，远达不到五星酒店服务标准，以后再不住了。', '短评打分': 4}
{'短评内容': '酒店位于崆峒山脚下，距游客中心1公里，房间装修豪华，庭院风景秀丽，带孩子玩了一上午，非常值得一去', '短评打分': 5}
{'短评内容': '酒店位于崆峒山脚下，房间内部装修相当不错，有着巨大的庭院园林水系，非常适合休闲度假', '短评打分': 5}
{'短评内容': '酒店很大，装修服务都不错，就是时间有些短，下次还会住的', '短评打分': 5}
{'短评内容': '质量不错，价格便宜，推荐购买。', '短评打分': 5}
{'短评内容': '3号楼李富琴、张永霞团队服务周到，宾馆环境很好', '短评打分': 5}
{'短评内容': '服务周到，环境好', '短评打分': 5}
{'短评内容': '酒店真是相当大，停车很方便，内部装修应该重新搞过，整体还不错，一楼中餐厅挺好的几顿饭都是在哪里解决的，菜的品种很多，味道也不错。', '短评打分': 5}
{'短评内容': '很好好好傲娇啊还是少好少好爱爱爱卡卡', '短评打分': 5}
{'短评内容': '酒店很大，就是我定的豪华标间没有阳台，有点不足。', '短评打分': 5}
{'短评内容': '景色宜人不错的', '短评打分': 5}
{'短评内容': '酒店环境非常好', '短评打分': 5}
{'短评内容': '设施多，环境好，相当不错', '短评打分': 5}
{'短评内容': '已入住多次', '短评打分': 5}
{'短评内容': '环境一流', '短评打分': 5}
{'短评内容': '谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢', '短评打分': 5}
{'短评内容': '空洞山脚下，风景优美，附近农家乐很多，适合自驾', '短评打分': 5}
{'短评内容': '谢谢。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很不错的酒店、风景很好', '短评打分': 3}
{'短评内容': '房间环境很好，可是指示标志还不太明显。服务员比较刻板，对酒店位置表述不清', '短评打分': 5}
