{'短评内容': '房间干净，离公司还近，下次一定在去，前台小伙子很负责任。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '这酒店太烂了，房间里吹风机，洗浴拖鞋都没有，还不隔音', '短评打分': 1}
{'短评内容': '没暖气，冬天又点冷', '短评打分': 2}
{'短评内容': '有点冷', '短评打分': 5}
{'短评内容': '房间大卫生不错很值', '短评打分': 5}
{'短评内容': '活动给力，价格优惠，环境不错，干净卫生，安静不杂乱', '短评打分': 5}
{'短评内容': '挺失望的', '短评打分': 2}
{'短评内容': '航班延误，住在这里就为图个方便，设施简单，感觉性价比不是很高，三床房有个床根本没办法睡。', '短评打分': 3}
{'短评内容': '洗澡水放了半小时也不出热水。早餐很差。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '还可以，能住', '短评打分': 3}
{'短评内容': '还可以。出差够了', '短评打分': 4}
{'短评内容': '比较超出想想', '短评打分': 2}
{'短评内容': '性价比高，就是房间太小了', '短评打分': 5}
{'短评内容': '一般。。。', '短评打分': 3}
{'短评内容': '服务好 房间大 挺不错的', '短评打分': 5}
{'短评内容': '还不错 服务挺好 房间很大', '短评打分': 5}
{'短评内容': '京东订房方便快捷，价格较台直接订便宜，酒店位置离机场近方便，住宿条件一般。', '短评打分': 4}
{'短评内容': '很好。很喜欢。缺点就是离会展中心有点远。', '短评打分': 5}
{'短评内容': '距离办事地点很近，有机场接送不错，早餐太差', '短评打分': 5}
{'短评内容': '酒店太差，早餐只有馒头和两个白菜，从来没有见过这么差的早餐。说是可以预订出租车，结果1个小时都没有等到车；性价比很低。', '短评打分': 1}
{'短评内容': '房间温度很高，离新国展二站地距离，还有到国展的服务车，挺好的。', '短评打分': 5}
{'短评内容': '酒店还可以 就是有点冷…', '短评打分': 3}
{'短评内容': '中航空港大酒店客房温度太低了，酒店只有多加棉被的解决措施，令房客无奈！', '短评打分': 3}
{'短评内容': '如果你真的只是赶飞机，那就没办法了，这里只有地脚的优势。', '短评打分': 1}
{'短评内容': ' 干净舒畅/环境优美/房间大。。。。不错的，就是远点', '短评打分': 5}
{'短评内容': '对这个酒店挺失望的，隔音不好，设施陈旧，喷头水流小不说，还漏水，优点就是离机场挺近的，还有专车接送比较方便。', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '接送服务以及服务设施还可以，但前台服务有待改进', '短评打分': 5}
{'短评内容': '住了不到12个小时就停了两次电！而且都不知道什么时间来电，也没有备用电源！', '短评打分': 1}
{'短评内容': '很干净，不错，挂四，特别是有车接送，方便，适合晚上航班的人群。', '短评打分': 5}
{'短评内容': '条件不错，我推荐', '短评打分': 3}
{'短评内容': '第二次入住了，现在可以划卡，不知道早餐有所改善没。', '短评打分': 3}
{'短评内容': '帮同事预订的。不清楚具体的情况。....', '短评打分': 5}
{'短评内容': '来这一定问好路啊，太难找了', '短评打分': 3}
{'短评内容': '离首都机场很近，而且酒店提供免费车辆接送，服务态度较好，由于住的是标准间，房间内设施比较陈旧，但在北京268元/晚的房价还是不错的。', '短评打分': 5}
{'短评内容': '酒店除了比较靠近机场外，其它软硬件都无法达到准四星的标准，虽然开业不久但房间设施却一般，早餐更是很差劲，而且结账依然不能刷卡。', '短评打分': 1}
{'短评内容': '車子接送還算方便，早餐較簡單\n早上早班機還是適合', '短评打分': 5}
{'短评内容': ' 四个字：失望至极！还准四星呢，连三星都不如。卫生隔音服务等等都很差劲，不会再住', '短评打分': 3}
{'短评内容': '服务好，环境好，', '短评打分': 3}
{'短评内容': ' 早餐不错,地点也不错,比较方便.', '短评打分': 3}
{'短评内容': '环境挺好，就是接送机次数太少，航班过早无早餐', '短评打分': 3}
{'短评内容': '极差，居然不能刷卡，接机等了近一个小时。', '短评打分': 1}
