{'短评内容': '水壶太脏了', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '都还不错', '短评打分': 4}
{'短评内容': '晚上有点吵', '短评打分': 4}
{'短评内容': '酒店位置很好找，附近饭店很多，吃饭比较方便。酒店卫生还可以吧，服务态度很一般。', '短评打分': 3}
{'短评内容': '搞活动买的，挺合适。下次看看吧。。。', '短评打分': 4}
{'短评内容': '总和还可以，感觉还不错。', '短评打分': 5}
{'短评内容': '还没睡觉了你??', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '网速慢，还老断，电视只能看几个台，中央台江苏台卡那里三天不动，空调自动停，晚上冻醒几次。让服务台换房，小姑娘脸红红地说我们这都这样。还好最后一天换旁边御园了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '充满恶意的地方', '短评打分': 1}
{'短评内容': '非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常好好好好好好好好', '短评打分': 5}
{'短评内容': '这次终于电视可以看了，不错，经济酒店也就如家我还经常入住！', '短评打分': 4}
{'短评内容': '房间里发现有蟑螂，洗漱台堵塞……其他都还好……', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好，很不错，刚开不久的店，感觉住的很舒服，尤其床比较舒服。价格挺便宜的，附近的饭店也挺多，住这儿吃饭不用愁。', '短评打分': 5}
{'短评内容': '环境还不错！', '短评打分': 4}
