{'短评内容': '停车位很多，早餐没时间去食用', '短评打分': 5}
{'短评内容': '别去了 火车站附近很吵 发票还要自己打印 饭菜不好 房间有味道', '短评打分': 1}
{'短评内容': '好就是好可以住', '短评打分': 5}
{'短评内容': '电梯安装智能感应，没有实际用途。存在很大安全隐患，不是住客随便跟前台说一下就会帮你刷电梯卡，也不问不登记。', '短评打分': 4}
{'短评内容': '有停车场，', '短评打分': 5}
{'短评内容': '～～～～～', '短评打分': 5}
{'短评内容': '。。。。。。。。。', '短评打分': 4}
{'短评内容': '不错，还可以，环境卫生都很好！', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '出差，住的很赞，服务不错房间也大，出行还算方便，离火车站不远', '短评打分': 5}
{'短评内容': '实惠的价格，环境不错，楼下大型水疗会，出差的好选择', '短评打分': 4}
{'短评内容': '实惠的价格，环境不错，出差都住这家', '短评打分': 4}
{'短评内容': '天天酒店装修吵死了，吵死了，睡不好觉，气的我退房了，早上经理不上班，找人投诉都没有', '短评打分': 1}
{'短评内容': '本人现在就在前台退房昵，因为大清早楼上就开始各种办东西吵死了，没有人管，给我气的退房了，每天都有装修的，有没有人管', '短评打分': 1}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '非常不错的服务。离车站也很近，唯独不好的是现在入住人比较少。显得过于清静了。不过，整体还是程很好的，下次还会入住。', '短评打分': 5}
{'短评内容': '非常不错的服务。离车站也很近，唯独不好的是现在入住人比较少。显得过于清静了。不过，整体还是程很好的，下次还会入住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还不错，带早餐，比较安静，性价比高。', '短评打分': 3}
{'短评内容': '还不错，各方面都很好', '短评打分': 3}
{'短评内容': '早上经常有嘈音！！空調水壓都不足！！有待改善', '短评打分': 1}
{'短评内容': '走遍全国各地，想不到在东莞还有如此实惠的酒店！同等的价格，室内应有的尽有！以后每次到东莞常平，肯定入住这里！我个人实在找不出它的缺点，所以只能说优点：\n1、停车方便，而且有人看管；\n2、门口的服务员态度非常好，还帮我拎行李；\n3、前台接待员很懂礼貌，即使在忙碌之中也能礼貌而且面带微笑的接应！\n4、室内就不用说了，这次出门走了四个城市，这里的居住是令我最满意的！', '短评打分': 5}
{'短评内容': '不错..环境很好', '短评打分': 3}
{'短评内容': ' 环境舒适，不错！', '短评打分': 3}
{'短评内容': '房间还好, 早餐不错。靠近火车站。步行15分钟到。\n\n', '短评打分': 5}
{'短评内容': '  非常好的酒店，价格还算合理，基础设施也不错，水疗很好。就是房间有点吵，可能是靠铁路的原因。推荐一下。', '短评打分': 3}
{'短评内容': '第一次入住, 感觉挺好, 一切满意, 只是有点不惯没窗的房间.', '短评打分': 5}
{'短评内容': '性价比很高的一间酒店，此酒店很适合商务，不用担心是不正规的酒店。我们住的是三楼，都有个很豪华的大堂，在香港这种是很少有的。而且房间非常的新，很干净卫生，让你睡得很舒适。我们订的是豪华房，觉得这个价格超值。就是没有听说有车接送的，我去火车站打的车是25元的，而且这打表的，东莞的的士。', '短评打分': 5}
{'短评内容': '酒店环境不错，卫生，干净，整洁，房间够大。', '短评打分': 5}
{'短评内容': '房间挺大的，设备新。走在过道里感觉像KTV。对面的台湾牛肉面挺好。有酒店车免费送车站。', '短评打分': 5}
{'短评内容': '银色假日酒店客房采用欧式宫廷风格,舒适度令人满意,价格也很合理,是值得一试的酒店.', '短评打分': 3}
{'短评内容': '还不错，就是空间有点小。', '短评打分': 3}
{'短评内容': 'HOTEL IS VERY GOOD. No windows.', '短评打分': 5}
{'短评内容': '订房时有写包早餐但去到餐厅说没有，站在外等他们查了15分钟才说可以了。', '短评打分': 5}
{'短评内容': '房间不错，超大~~挺舒服的~新的酒店，有点味道~', '短评打分': 5}
{'短评内容': '很棒！！很值得一去，这样的价钱有这样的服务，非常值!', '短评打分': 5}
{'短评内容': '很棒的酒店，服务到家，环境卫生，干净！下次还会再来！！！！', '短评打分': 5}
{'短评内容': '清潔！但208的都沒窗！及送的50元水療卷只能當天使用！', '短评打分': 5}
{'短评内容': '酒店不错，房间挺大，装修豪华，价位合理。酒店位置火车站，交通也方便，\n就是早餐不怎么样。', '短评打分': 5}
{'短评内容': '酒店不錯，房间很舒服', '短评打分': 3}
{'短评内容': '＋288元一晚的客房还是不错的，位置离镇中心要打15元的士。不满意退房规定下午两点，太早了。送的自助早餐超一般。', '短评打分': 3}
{'短评内容': '在這裡訂了豪華自動房，所謂的自動是床的上半部份可以升起，不過是由兩張床合併出來，有點怪!! 從這裡的照片上看到房內有沙發，實際上我住的房間是沒有，要先向他們問清楚，裝置及清潔都很好，唯一覺得奇怪是沒吹風機', '短评打分': 5}
{'短评内容': 'OK 很舒適 環境很好 会向朋友推荐这家酒店', '短评打分': 5}
{'短评内容': 'Very good value for money', '短评打分': 5}
{'短评内容': '己经是第二次住这家酒店服务到位设备新性价比高', '短评打分': 3}
{'短评内容': '酒店是新开张的，装修很漂亮，价格也很实惠，赞一个！', '短评打分': 3}
{'短评内容': '银色假日酒店房间很新设备很好三星的收费五星的享受，特别是他的休闲水会我跟女友玩得特开心！', '短评打分': 3}
{'短评内容': '位置好，距离火车站汽车站很近，房间非常新，推荐', '短评打分': 5}
