{'短评内容': '酒店还不错啊，附近商场很多，很方便，停车也方便', '短评打分': 5}
{'短评内容': '早餐还可以吧', '短评打分': 5}
{'短评内容': '本来想问有个奶还是饮料怎么送。有个服务员说晚上有人来送。结果说好的送奶结果最后都没有送。心塞塞。不过服务不错。空调有问题。就很快过来修了。这点点个赞。其余的都挺不错的。总的来说很值', '短评打分': 5}
{'短评内容': '房间好，服务也美', '短评打分': 5}
{'短评内容': '早餐丰富，酒店卫生干净，服务态度好，经常来住这个酒店，旁边就是商场，购物也很方便，马桶还是智能的，可以冲洗噢', '短评打分': 5}
{'短评内容': '还不错，在新乡应该还算不错的酒店了，早饭也可以的，这个价位来说也挺丰富了', '短评打分': 5}
{'短评内容': '酒店位置不错，位于市中心，逛街吃饭什么的超级方便！楼下就有好吃的烩面馆包子铺，房间卫生也收拾的不错！下次还来！', '短评打分': 5}
{'短评内容': '位于市中心，逛街吃饭什么的超级方便，性价比高，房间卫生业不错！楼下就有好吃的烩面馆，包子铺！下次还来选择！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错，价格便宜', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '必须给五星', '短评打分': 5}
{'短评内容': '很好，星级酒店，平民酒店的价格', '短评打分': 5}
{'短评内容': '酒店环境卫生好，地理位置也不错，已经是多次入住了。', '短评打分': 5}
{'短评内容': '适合商务出差，离小吃街挺近，主要是为了坐车', '短评打分': 3}
{'短评内容': '真好！这是第二次入住啦，', '短评打分': 4}
{'短评内容': '还不错，性价比比较高', '短评打分': 4}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 5}
