{'descr': '酒店服务很好，定房很方便', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '！！！！！！好', 'star': 5}
{'descr': '停车不方便，服务热情', 'star': 4}
{'descr': '环境一般，隔音差，设备陈旧，价格偏高', 'star': 3}
{'descr': '经济实惠', 'star': 4}
{'descr': '服务很到位，工作人员很亲切，有问必答，态度和善。', 'star': 5}
{'descr': '住酒店n次。这次是最差的一次。什么都差。瞎搞。携程瞎搞，酒店瞎搞。房间瞎搞，用了几年的携程。今天要卸载了。滚犊子app。难怪这么多人投诉。以前不知道被默认收费坑了多少。走了。', 'star': 1}
{'descr': '没热水，。。装饰好旧', 'star': 5}
{'descr': '房间很干净，隔音也好，交通方便。客房部的大姐态度非常贴心。网速也很好。就是卫生间设施该检修一下了，面盆漏水，整个卫生间都是水，下不去脚…还有莲蓬头也是四面八方的乱喷水…', 'star': 5}
{'descr': '还真是不错哦', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '亲戚去南京鼓楼医院检查身体，主要是离医院比较近，但是住了才发现是离鼓楼北院比较近，也没有很方便，一贯的好评。', 'star': 5}
{'descr': '酒店位于鼓楼，南京市中心地段，出门逛街购物美食俱佳。', 'star': 5}
{'descr': '还行，主要是地段不错，房间在拐角最里面，迷信的朋友估计是不会选择的！还有没有专门挂衣服的柜子，房间太矮有点压抑。', 'star': 5}
{'descr': '来考试订的，离南大很近，不错', 'star': 5}
{'descr': '一般吧，没什么大的不好，卫生有点欠缺', 'star': 4}
{'descr': '一般', 'star': 4}
{'descr': '卫生干净，周边方便！性价比挺好！', 'star': 4}
{'descr': '空调风机很吵，其他还行。', 'star': 4}
{'descr': '说实话，房间是不错的，就是停车实在是太难了，门口那条路几乎走不通，我们车被蹭两次，其中一次还是停在车位上，过了一夜，结果被蹭的很惨。停车费也很贵。\n再说环境，门口那条路上有弥漫着垃圾箱的味道。大厅一进去也是臭烘烘的。\n', 'star': 1}
{'descr': '酒店比较难找，房间干净但是床不太舒服比较硬。', 'star': 1}
{'descr': '给老婆订的，据说还不错，离办事的地点很近、很方便，其它的详情不知......', 'star': 5}
{'descr': '当然和五星级酒店没有办法比啦，属于比较经济的，卫生不错！', 'star': 5}
{'descr': '房间不错，如果能延迟退房就更好了。一定要12点退房\n', 'star': 5}
{'descr': '地理位置比较方便，服务也不错，值得向朋友推荐。', 'star': 5}
{'descr': '这个酒店比较旧，条件一般般。因为离我们单位近，所以来单位进行办事的人我们会推荐住这儿方便而已。', 'star': 5}
{'descr': '因为靠近单位，所以介绍给过来进修学习的同事。很方便。酒店条件一般般。', 'star': 5}
{'descr': '房间还好，有些旧，而且很小，只有写字桌前有一把椅子，不过地理位置很好，就在南大附中不远的地方，离地铁站大概800米，总体还好吧，不过256这价偏贵了，个人觉得180足够了，不过周边貌似就这一家快捷酒店', 'star': 5}
{'descr': '酒店设施一般，灯光不明亮。位置在中山北路，离鼓楼地铁不算很远，但是藏在楼的后方，不太好找。卫浴设施很差，给人感觉很不舒服。床偏硬，总体来说不是很舒适。', 'star': 1}
{'descr': '酒店设施一般，灯光不明亮。位置在中山北路，离鼓楼地铁不算很远，但是藏在楼的后方，不太好找。卫浴设施很差，给人感觉很不舒服。床偏硬，总体来说不是很舒适。', 'star': 1}
{'descr': '老式的装修，不符合现代快捷连锁酒店的要求。\n床板比较硬，空调效果不好，夜里面睡觉感觉有点冷，而且空调外机声音比较大。', 'star': 1}
