{'短评内容': '一般般不值', '短评打分': 4}
{'短评内容': '整体环境，卫生，服务都很满意！', '短评打分': 4}
{'短评内容': '多次入住了，还不错', '短评打分': 5}
{'短评内容': '酒店位置比较偏，周边没什么小吃。', '短评打分': 3}
{'短评内容': '酒店服务很不好，前台电话总是没人接。', '短评打分': 4}
{'短评内容': '酒店位置好，打车方便，服务也好，但是房间比较简陋。', '短评打分': 4}
{'短评内容': '位置稍偏，附近有个购物公园可以购物吃饭，房间比较干净整洁也比较安静，唯一不太满意的是走的时候数据线忘拿了，查房后也没及时通知联系，服务细节上有待加强', '短评打分': 4}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很好 很干净 很宽敞 很安静  往北一点有个购物公园  吃饭买东西很方便   前台服务态度也不错 ，总的来说值得推荐 性价比很高 以后还来', '短评打分': 5}
{'短评内容': '服务还可以。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '室外温度晚上大约3℃，洗澡水洗在身上是温的，而且前台无法调节，望改进，至少要保证回来能洗个舒服的热水澡吧！', '短评打分': 4}
{'短评内容': '干净，卫生，新装修的，就是淋浴房缺个可以拿的喷淋头，那样就完美了', '短评打分': 5}
{'短评内容': '酒店条件不错，但位置较偏、不提供早餐很不方便。', '短评打分': 3}
{'短评内容': '酒店是11年10月份开业的，比较新，内外装修都比较新，床非常舒服，垫子和盖被，枕头都是我喜欢的风格。当时订的特价房，觉得性价比非常高，下次还会去。唯一不足的是，浴室的淋浴器，是固定的那个花洒，很高不能调节，水量也比较小，淋浴下水那不是很通畅。', '短评打分': 5}
{'短评内容': '酒店的确很新，不错，下次还会来的', '短评打分': 3}
{'短评内容': '第二次住了 位置闹中取静 十分便利 房间干净 设施新', '短评打分': 5}
