{'descr': '很不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '其他都还行，隔音不好，走廊里走动的人太吵了', 'star': 4}
{'descr': '挺好干净整洁', 'star': 5}
{'descr': '其他都可以，就是屋里有点冷', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好的一次住宿体验！', 'star': 5}
{'descr': '还好，来呼市转机的。到机场很方便！网上评论也不能全信，这个房间暖气加中央空调一点不冷。', 'star': 5}
{'descr': '还不错，电视效果差点', 'star': 5}
{'descr': '一般般的一个酒店', 'star': 4}
{'descr': '没缺点也没优点', 'star': 3}
{'descr': '不咋地。', 'star': 3}
{'descr': '周边烧烤吃饭还很方便。交通也便利，就没机场大巴。', 'star': 4}
{'descr': '非常好，推荐！还行吧，周边方便', 'star': 5}
{'descr': '可以', 'star': 2}
{'descr': '早餐博饼不错', 'star': 4}
{'descr': '值得推荐！', 'star': 5}
{'descr': '不好  价格不实惠 还卫生不干净 毛巾都是乌的。。。。', 'star': 1}
{'descr': '酒店房间大，安静，比较好。', 'star': 3}
{'descr': '很满意，以后还会去，房间很大..设施也很先进', 'star': 5}
{'descr': '酒店不错，干净，价格不高，设施使用比较方便，就是走廊太长了。', 'star': 5}
{'descr': '酒店不错，干净，价格不高，设施使用比较方便，就是走廊太长了。', 'star': 5}
{'descr': '很干净，也很安静，暖气也不错，住着舒服，下次还来住，价格也不错', 'star': 5}
{'descr': '很干净，也很安静，暖气也不错，住着舒服，下次还来住，价格也不错', 'star': 5}
{'descr': '很干净，价钱合理，就是宽带慢的要命慢慢慢慢', 'star': 5}
{'descr': '很干净，价钱合理，就是宽带慢的要命慢慢慢慢', 'star': 5}
{'descr': '很一般的酒店，装修味道很重', 'star': 3}
{'descr': '很一般的酒店，装修味道很重', 'star': 3}
