{'短评内容': '非常喜欢的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错很清净，也干净', '短评打分': 5}
{'短评内容': '一分钱一分货，设施比较老，但是能跟价格匹配', '短评打分': 5}
{'短评内容': '出游还可以，挺方便，周边没得吃的。', '短评打分': 4}
{'短评内容': '我订的没有早餐，旁边有一个粉店。就在城市主干道，交通便利，就是停车位有限。标间的双床比较小，卫生还行。', '短评打分': 5}
{'短评内容': '酒店位置还不错，很容易找到，就是设施有点旧了，价格也合适，下次出差还会住这边', '短评打分': 5}
{'短评内容': '内部还可以，也很安静，', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '网上查是鑫怡大酒店，导航也是鑫怡大酒店，可是到店却称为林怡大酒店，这个大家要注意。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '便宜又干净，还是很好的！', '短评打分': 5}
{'短评内容': '环境很好，服务态度很好', '短评打分': 5}
{'短评内容': '完美的酒店，虽然很多设施都没用，但是绝对在百色很好', '短评打分': 5}
{'短评内容': '酒店环境很好，设施齐全，服务员态度很好', '短评打分': 3}
{'短评内容': '房间很大，卫生干净，就是无线信号比较弱；还有酒店比较偏，附近饭店超市非常少，旁边银行倒很多；总体还满意！', '短评打分': 4}
{'短评内容': '房间大，挺好的，就是出去不好座车，没吃饭买东西的地方，生活不方便。', '短评打分': 3}
{'短评内容': '装修是古典风，我个人比较喜欢，就是二楼的网速有点慢，特别是我那个靠边的房间，其他都还好', '短评打分': 3}
{'短评内容': '不错，服务很到位，很喜欢他们的早点，相对要丰富些', '短评打分': 3}
{'短评内容': '很好！值得推荐…两个大拇指！', '短评打分': 3}
{'短评内容': '不错的一家  住了感觉挺好的    前台服务员也很热情', '短评打分': 5}
{'短评内容': '是一家环境不错的酒店     服务员也挺热情     ', '短评打分': 5}
{'短评内容': '房间阔大，干净，服务好，早餐厅差！', '短评打分': 3}
{'短评内容': '服务态度很好，热情周到，房间宽敞，设施完备，交通便利。再去还会选择该酒店。', '短评打分': 5}
{'短评内容': '前台服务热情周到、细心，房间宽敞，有中国传统元素，设施完备，交通便捷。', '短评打分': 5}
