{'短评内容': '房间非常安静，适合出差旅行，价格合适，位置靠近汽车站，方便舒适，以后出门就它了。服务员说话客气，沟通顺畅。', '短评打分': 5}
{'短评内容': '很不错   而且还有意外惊喜', '短评打分': 5}
{'短评内容': '不错，挺好的，房间干净整洁', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '挺，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，好', '短评打分': 5}
{'短评内容': '很，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，好', '短评打分': 5}
{'短评内容': '整体性价比不错！可以！', '短评打分': 4}
{'短评内容': '很不错，价位合适，设施完善，主要是态度好，连续看了三间房，除了有一间有味道外，其余都很好，很不错的一次入住。', '短评打分': 5}
{'短评内容': '挺，，，，，，，，，，，，，，，，，，，，，，，。。。。。。。。。。。。。。。。。。。。。。。。。。。好！！！！！', '短评打分': 5}
{'短评内容': '服务很好，设施不错', '短评打分': 5}
{'短评内容': '只能说服务还行', '短评打分': 3}
{'短评内容': '还行房间，就是热水没有，要放水挺长时间。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '太差了酒店', '短评打分': 3}
{'短评内容': '位置还挺方便，就在汽车站对面。前台热情，房间干净，就是屋内设置有点旧。', '短评打分': 3}
