{'短评内容': '位置很好，前台很友善，房间干净！五星好评', '短评打分': 5}
{'短评内容': '很文艺的住宿，离地铁近，出行也很方便，行李也能暂时寄存在那里，挺舒服的一个地方', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '前台服务好 卫生也干净', '短评打分': 5}
{'短评内容': '以前住过，位置好，干净。这次还是很满意。', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '一般，厕所非常小 且不舒服。前台服务差。比起一般的青旅不是差的一点半点。就是location真心不错。', '短评打分': 2}
{'短评内容': '网络很差，环境也不好，不通风', '短评打分': 4}
{'短评内容': '酒店位置很好，床很舒服宽敞，走廊很好看，洗漱间还有洗衣机和晒衣服的地方。我住得感觉很棒！下次还会再来的。', '短评打分': 5}
{'短评内容': '很巧的是房间里另外两个姑娘都和我一样来自上海…缘分啊哈哈…环境比我想象的好…第一次住青旅，总体印象不错…赞', '短评打分': 5}
{'短评内容': '还是当初的样子  好评', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '还是那么ok 就是周围改造太吵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住了很多次了，有特色，很喜欢', '短评打分': 5}
{'短评内容': '位置好，交通方便，很有特色', '短评打分': 5}
{'短评内容': '还不错，认识了不同的人，很开心。', '短评打分': 5}
{'短评内容': '漂亮的地方 感觉在哪都能拍文艺片 就是房间比预想小些 服务也不错 感觉价钱在文艺体验上', '短评打分': 5}
{'短评内容': '可以认识很多人，蛮喜欢的。。。。。。。。', '短评打分': 5}
{'短评内容': '还像以前一样干净，很好', '短评打分': 3}
{'短评内容': '一家装修非常有特色的酒店~~！！前身是基督教青年会，还是保护建筑的。。。离西湖只有十几分钟的路程，附近还有解百商场，非常方便~\n很爱小套房里的浴缸~~双人间也不错的~~\n总之十分推荐~~另外感觉前台有点小迷糊啊，希望以后细心点啦~~', '短评打分': 5}
{'短评内容': '感觉很温馨，环境很优雅，服务态度好。', '短评打分': 3}
{'短评内容': '环境好，服务好，有机会会再考虑入住。', '短评打分': 3}
{'短评内容': '强力推荐那些来杭州旅游的年青人入住 非常非常干净 环境也很好 非常有赶脚', '短评打分': 5}
{'短评内容': '不错，满适合年轻人住的，不会很乱，大概因为教会的原因，气氛很轻松', '短评打分': 5}
{'短评内容': '建筑颇有特色，下雨会很有感觉。床挺舒适的，洗手间和浴室也很干净。交通方便但又不在大路边，所以很安静。服务台的年轻人也都很nice。', '短评打分': 3}
{'短评内容': '环境很安静，设施也很齐全，很喜欢', '短评打分': 3}
{'短评内容': '酒店很漂亮。很有感觉。设备都挺全面，挺好。记得自己带洗漱东西。很干净，退房就换床单等。', '短评打分': 5}
{'短评内容': '非常棒！适合青年人居住', '短评打分': 3}
{'短评内容': ' 房间干净~舒适~', '短评打分': 3}
{'短评内容': '非常干净,性价比很高,地理位置也很好,下次还会入住', '短评打分': 3}
{'短评内容': ' 很干净的青旅。设计的也很人性化。新装修好的还是有点装修的味道。希望公共区域尽快装修好。', '短评打分': 3}
