{'短评内容': '还算干净。。。！！！！', '短评打分': 5}
{'短评内容': '很好！真心很好', '短评打分': 5}
{'短评内容': '酒店很好！环境也很好！真心不错', '短评打分': 5}
{'短评内容': '我不知道都是这样，还是只有我住的这个是这样，一进房间一个很大的气味，让人很不舒服，，住两个人的房间毛巾只有一个，而且浴巾晚上我们准备用的时候还湿的，而且有作为男人特别熟悉的味道，（自己想是什么味道，）床单上也不知道弄的什么，好像血一样，有图片自己看嘛，我说我睡了一晚上没脱衣服裤子不知道那个信不，房间有电视，但是不保证打的看，至少我住的那个房间，打开了白屏，没有网，没法看，有无线网，但是也没网，这都', '短评打分': 2}
{'短评内容': '门不能反锁，窗也不能锁，空调还滴水', '短评打分': 1}
{'短评内容': '总体还可以。就是吹风机好像是坏的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '已经住过很多次了，总体感觉还是不错，可能是给我安排的房间都比较好，其他的问题都没有，虽然在闹市区，但还是很安静，可以', '短评打分': 4}
{'短评内容': '位置还是好找。电梯有点隐秘。前台姐姐长得漂亮。但是，房间门不好打开。进去看着还不错。电视不能看，没有拖鞋，洗手台还是坏的，要漏水。浴霸也是怪的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，值得推荐，下次还去', '短评打分': 3}
{'短评内容': '总体不错，服务很不错，唯一就是门打不开，望改进，总体来说还是赞', '短评打分': 3}
{'短评内容': '前台服务好，房型小，有电脑。', '短评打分': 3}
{'短评内容': '哈哈哈红红火火红红火火好机会即将斤斤计较斤斤计较', '短评打分': 3}
{'短评内容': '花洒坏的，很多设施有点老旧，没有窗户，服务还是不错……', '短评打分': 4}
{'短评内容': '网上说的70平米跃层套房，去了才25平米，而且卫生是我住过的所有绵阳酒店最差的了，空气通风超差，晚上闷死人了。窗户无语了。我用的自己的笔记本，随时断网。电梯更恐怖，去了你就知道了。', '短评打分': 1}
{'短评内容': '房间味道很大，床也很不舒服，除了有个电脑以外，没有什么优点', '短评打分': 1}
{'短评内容': '一般吧，如果零时住个一天的话还行，空间不大，卫生间有异味。不过在市中心能有这个价位的很不错了。就是周围连个网吧都没有。数码房的电脑太烂了。只能上QQ', '短评打分': 1}
{'短评内容': '已经第三次住了，总体来说还可以，比较舒适。', '短评打分': 5}
{'短评内容': '酒店位置，环境，房间各方面都不错，值得推荐。不过就是网速稍微慢一些。我觉得性价比都可以。', '短评打分': 3}
{'短评内容': '位置繁华，交通方便，酒店设施简单，卫生间太小，相对来说有点小贵。', '短评打分': 3}
{'短评内容': '地段繁华，设施一般。', '短评打分': 3}
{'短评内容': '不错，服务人员很热情，环境还好，离繁华地带很近', '短评打分': 5}
{'短评内容': '这是我住过最瞥的酒店，1.6米宽的床叫大床，窗户外面是白色的墙，连窗户都没有，真想骂娘了，后来我和女朋友去住了标间，两张床的那种，房间里面没有袋装的茶叶，没有袋装的沐浴露洗发露，这些最基本的都没有，我觉得下次打死都不住他这里，158元真是点都不值', '短评打分': 1}
