{'短评内容': '房间小，卫生差', '短评打分': 3}
{'短评内容': '挺好的，环境也挺好的，每次朋友来，客户来，都会选择这家酒店，非常的方便，而且早上的自助餐非常的丰富，', '短评打分': 4}
{'短评内容': '环境不错，服务也蛮好，就是早餐品种少了点，餐厅服务一般般，周边用餐比较方便，离海边很近，价格与配套相符，推荐入住。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间小了点。', '短评打分': 5}
{'短评内容': '客户说环境好，早餐也给力', '短评打分': 5}
{'短评内容': '京东旅游的售后服务，必须一万个赞！订错了日期，本来是特价房提示不能变更和取消的，可是好几百大洋呢！于是抱着试试的态度紧急联系京东客服，竟然变更成功了！\n再次感谢！希望京东旅游能做大做强！', '短评打分': 5}
{'短评内容': '设施、环境普通，以五星标准欠缺了', '短评打分': 4}
{'短评内容': '酒店预订很给力，酒店收到订单也很快，酒店房间也很大，还有个健身中心，可以游泳，打乒乓球，桌球，桑拿，而且这家比携程好的地方在于，开发票，寄到家中，不用收快递费', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐太渣渣了！实在难以下咽！！！！！！房间还行', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '带着小孩，前台贴心得升级房间，很安静', '短评打分': 5}
{'短评内容': '提供設施不多', '短评打分': 4}
{'短评内容': '空间很大，环境很好，很卫生，就是进出有的不方便，整体上还是推荐的，来厦门旅游的话第一天或最后一天值得一看住', '短评打分': 5}
{'短评内容': '很安靜很舒服', '短评打分': 5}
{'短评内容': '很安静，不错', '短评打分': 5}
{'短评内容': '很安静，不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '价位与配套服务不对称', '短评打分': 3}
{'短评内容': '很不错的酒店，可以在海边散步', '短评打分': 5}
{'短评内容': '景色非常美丽，过了杏林大桥就是，从机场到酒店，开车15分钟；非常方便；', '短评打分': 5}
{'短评内容': '大堂和餐饮都不错，尤其餐饮，性价比高，环境是非常好，酒店设施也不错，但房间细节处待改进，如墙板有开裂', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '入住好几次了，这次去装修的墙纸更破烂了，希望酒店维护一下！', '短评打分': 4}
{'短评内容': '酒店环境很好，特别安静，就是比较偏', '短评打分': 4}
{'短评内容': '环境非常好，是那种度假村似的布局。吃完晚饭沿湖边散散步，超舒服。午晚餐都是自助餐，午餐75元，晚餐95元，还不错啊。就是交通不太便利，需要自己有车。强烈推荐这个酒店。还有，被子厚了些，好热啊。', '短评打分': 5}
{'短评内容': '很安静，早餐好', '短评打分': 3}
