{'短评内容': '很好的酒店，性价比高', '短评打分': 5}
{'短评内容': '房间有异味，不通风；没厕纸；设施陈旧，像发潮；隔音效果差，凌晨一两点了，还有一对年轻男女不知在哪个角落谈情说爱，房间里听得清清楚楚。。。', '短评打分': 2}
{'短评内容': '房间比较小 个人感觉住着不太舒适', '短评打分': 3}
{'短评内容': '1.到店另收100元押金       2.淋浴龙头水小，不好洗澡   3.下单是大床房，到店给间双标房       4.前台管理混乱，携程网及短信通知订单确认成功，到店既然说找不到订单信息，让我在大堂等近十分钟    ', '短评打分': 2}
{'短评内容': '还行吧，一般般', '短评打分': 4}
{'短评内容': '房间里墙上都是虫子，厕所很臭，卫生很差，想不通明明是小家庭旅馆非要叫什么酒店，隔音超差，总之非常的差⋯⋯退房的时候说少了浴巾，扯皮半天，我天我拿你那又脏又臭的浴巾有毛用啊⋯⋯一夜未眠', '短评打分': 2}
{'短评内容': '隔音效果太差了，强烈不联系住这里。', '短评打分': 3}
{'短评内容': '干静，明亮，新，床垫柔软，大厅明亮', '短评打分': 0}
{'短评内容': '整体还行，干净，服务不错。', '短评打分': 4}
{'短评内容': '跟朋友一起到厦门度假选择了这家酒店，离机场很近出租车很快就到了。酒店装修的挺不错的，快捷酒店里算环境好的了，无线网络速度超快的，哈哈！~关键是很干净，价钱也很优惠，服务到位，值得推荐！~', '短评打分': 3}
{'短评内容': '这家挺不错的 房间还有独立wifi 天猫网络电视 挺好', '短评打分': 3}
