{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '房内环境还可以', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还好,就是朋友探望要身份证，害我朋友又花1小时回去去证件。', '短评打分': 5}
{'短评内容': '还行吧，就是隔音差一点', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '非常干净，非常热情，宾至如归，', '短评打分': 5}
{'短评内容': '酒店还行，到景区就是一个起步价。但是吐槽镇江高铁站，出口处在南门，要绕一圈才能到北出口，一算一里多地。就是看中离火车站150米，其实去了就知道到底有多远，反正离开时去火车站打车的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间干净整洁，服务人员态度很好，很多细节的地方做得很好', '短评打分': 4}
{'短评内容': '第一次入住如家，房间干净整洁，服务人员态度很好，很多细节的地方做得很好，比如前台提供的创可贴，橡皮圆就蛮好！唯一感觉不那么满意的被子厚重一点，其他都挺好', '短评打分': 5}
{'短评内容': '干净舒服，带孩子住特别好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位置很不错，距离火车站很近，距离江边也不远', '短评打分': 5}
{'短评内容': '新装修的,随便住住', '短评打分': 4}
{'短评内容': '  性价比还行，交通比较方便，下次还住在这家如家。', '短评打分': 5}
{'短评内容': '离火车站有点距离，房间环境不错，挺舒适的，不过隔音效果不好，房间外有什么声音，很容易听到。', '短评打分': 1}
{'短评内容': '前面服务非常好，有“如家”的感觉，下次去镇江还会选择。', '短评打分': 5}
{'短评内容': '还不错啊；；；；  就是宽带的连接方式 古老了点 哈', '短评打分': 5}
{'短评内容': '不错，装修很新。但是从火车站走过去还是有些远的。', '短评打分': 5}
{'短评内容': '房间有点小 光线还可以  有面镜子对着窗 按照迷信的说法 对着镜子睡觉不太好', '短评打分': 5}
{'短评内容': '酒店就怕比较，一比较优劣特别明显。推荐火车站店，离车站步行只需十分钟，公交也相当方便。房间干净整洁，打扫卫生也很及时主动，服务态度很好。', '短评打分': 5}
{'短评内容': '很新的感觉，洗澡的水流很大很舒服。只不过不能将有线宽带转化为无线，有点小郁闷。', '短评打分': 5}
{'短评内容': '说是火车站店，以为就在火车站对面，结果还是早了一会儿才找到，稍微有点远。因为到的有点晚，只剩下靠马路的房间了，很吵，隔音效果比较差。但卫生什么的还是不错的。', '短评打分': 5}
{'短评内容': '说是火车站店，以为就在火车站对面，结果还是早了一会儿才找到，稍微有点远。因为到的有点晚，只剩下靠马路的房间了，很吵，隔音效果比较差。', '短评打分': 5}
{'短评内容': '酒店前台的服务很好，房间也很干净。但酒店房间的隔音效果较差，早餐单调。', '短评打分': 5}
{'短评内容': '刚开业不久的酒店，还有点装修的味道，服务态度还行，房间设施一般，感觉性价比不高。不过，交通还算方便，就是停车要绕一大圈，才能到后院。', '短评打分': 5}
{'短评内容': '挺干净的酒店，服务态度挺好，值得一去！呵呵', '短评打分': 5}
{'短评内容': '这家店总体上还是不错的，看得出来内部都装修不久。提一点不足：隔音效果太差，甚至早上还有电钻的声音', '短评打分': 5}
{'短评内容': '性价比高,地理位子金山附近. 出行方便, 下次还会住', '短评打分': 5}
