{'短评内容': '早餐方便，隔壁就是喝早茶的。面对海滩', '短评打分': 5}
{'短评内容': '相对不错。没早餐，能加床，空间大，我当时价格还很优惠，其它不了解，关键是有停车场哈！家庭游很不错的。', '短评打分': 5}
{'短评内容': '已经毁灭了我对闸波的好印象，床单没换，卫生没搞好，天花板漏水，门锁坏的，房间空调不凉的，前台服务一般！', '短评打分': 1}
{'短评内容': '就是位置好点，靠近海，其他真心不怎么样', '短评打分': 3}
{'短评内容': '位置很理想，一下去就是海边沙滩，方便。服务不错，房间还算干净，就是设施有些老。房间很大，可以看到海边。吃东西蛮方便，旁边有海鲜食家，有早茶喝。门口有早餐档，方便。', '短评打分': 5}
{'短评内容': '沙滩近，价格便宜，免费停车', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店房间没有主灯，晚上室内亮度不够，空调机老旧，噪音大。', '短评打分': 4}
{'短评内容': '房间卫生，环境可以，值得入住，交通方便，离海边近。', '短评打分': 4}
{'短评内容': '总的来讲，差！', '短评打分': 3}
{'短评内容': '位置还确实不错，正当海边，但是酒店环境、房间卫生真心差、卫生间环境恶劣，价格贵之余，完全没有享受过里面的服务。', '短评打分': 1}
{'短评内容': '位置还确实不错，正当海边，但是酒店环境、房间卫生真心差、卫生间环境恶劣，价格贵之余，完全没有享受过里面的服务。', '短评打分': 1}
{'短评内容': '位置还确实不错，正当海边，但是酒店环境、房间卫生真心差、卫生间环境恶劣，价格贵之余，完全没有享受过里面的服务。', '短评打分': 1}
{'短评内容': '位置还确实不错，正当海边，但是酒店环境、房间卫生真心差、卫生间环境恶劣，价格贵之余，完全没有享受过里面的服务。', '短评打分': 1}
{'短评内容': '房价有点坑，不过总体感觉还是不错的', '短评打分': 3}
