{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '中规中矩，过道光线较啫，机场没有接送，但是到机场打车不到20元，来回出租较多，早餐没来及吃，转机值得一住。', '短评打分': 5}
{'短评内容': '干净还行，服务不错，只是房间床太硬了，有点不习惯', '短评打分': 5}
{'短评内容': '酒店环境一般', '短评打分': 3}
{'短评内容': '酒店设施不错，离机场不远。', '短评打分': 5}
{'短评内容': '服务很好，环境也好，就是退房时查房慢。', '短评打分': 5}
{'短评内容': '施工，有些吵闹！', '短评打分': 4}
{'短评内容': '飞机晚点，到店的挺晚了，接待人员好像是老板，服务态度冷淡，房间有一点点味道，想开窗通风呢，外墙装修，也没开成，总体来说一般，价格偏高', '短评打分': 4}
{'短评内容': '贵了点，外立面 装修，早上睁开眼几个装修工人正在我窗外忙活！ 幸好我不是女生！', '短评打分': 2}
{'短评内容': '房间很大，设施很好就是价格对于这样的设施还是有点贵了，在酒店住宿还要收十元的停车费，真是坑爹啊，想问问老板你缺那十块钱吗？', '短评打分': 5}
{'短评内容': '出差住的，一般般', '短评打分': 4}
{'短评内容': '房间比较暖和，离机场近比较方便，适合出行住', '短评打分': 5}
{'短评内容': '酒店总体不错，在乌市来来回回住了4天。', '短评打分': 5}
{'短评内容': '酒店总体不错，在乌市来来回回住了4天。', '短评打分': 5}
{'短评内容': '酒店总体不错，在乌市来来回回住了4天。', '短评打分': 5}
{'短评内容': '设施一般，', '短评打分': 2}
{'短评内容': '酒店很干净', '短评打分': 3}
{'短评内容': '无法刷卡， 随意收取押金， 态度差。 浴室用品差', '短评打分': 1}
{'短评内容': '酒店环境设施还不错，就是做生意太死板，商务酒店提供网口，竟然不提供网线，要想上网还需要另外买网线才行！有点不近人情！', '短评打分': 5}
{'短评内容': ' 酒店一般，服务差。由于酒店的失误及网站的原因，导致没有登记我所预定的房间。网站是赔偿了价格的差价，对于服务的降级处理为做任何说明。有些欺骗的意味。赔付首晚房价也是假的。', '短评打分': 3}
{'短评内容': '第二次入住，房间很大，温馨，感觉非常舒服。还会继续住。', '短评打分': 5}
{'短评内容': '房间很大很舒服，还有直饮水。房间设施新，但大堂装修有点小器，网络不给力。', '短评打分': 5}
{'短评内容': '房间面积挺大，但设备简陋，空调不制冷，晚上热的无法入睡，无早餐，建议选择其他酒店。', '短评打分': 1}
{'短评内容': '设施等都一般般！没有早餐！下次应该换个地方住了！', '短评打分': 1}
{'短评内容': '服务不好比较贵', '短评打分': 3}
{'短评内容': '方便，条件可以，可向其他人推荐，下次还住此酒店。', '短评打分': 5}
{'短评内容': '酒店貌似是用写字楼改的，从电梯里走出来，走廊显得很昏暗和压抑。\n我勒个去，房间是真大。我住的901，至少40平米以上，是我住过的最大的房间。找几个朋友开PARTY都没问题。\n我勒个去，家具是真简单。也许是屋子太大的缘故，茶几电视什么的摆在那里显得孤零零的，还特单薄的样子，感觉是住在仓库或摄影棚，很另类。\n总体感觉这个价位的酒店还是可以的。毕竟一百多也不可能要求有什么特别出色之处。中规中矩，性价比还', '短评打分': 5}
{'短评内容': '卫生条件一般', '短评打分': 3}
{'短评内容': '酒店房间很大，很宽敞，卫生条件很好，每天都会按时打扫房间，舒适度很不错', '短评打分': 5}
{'短评内容': '位置很不错的酒店，门口打车坐公交都很方便，服务员反应很快随叫随到，住宿条件好', '短评打分': 5}
{'短评内容': '服务很好的酒店，服务员随叫随到，我们有什么问题都会及时帮助到我们的，房间干净整洁，采光很好，住宿条件蛮不错的', '短评打分': 5}
{'短评内容': '酒店设施比较简单，房间挺大的，卫生很好，每天会定时更换床上用品，服务很好随叫随到，住宿环境不错', '短评打分': 5}
