{'短评内容': '舒适，环境好', '短评打分': 5}
{'短评内容': '老板热情，房间卫生干净整洁，舒适', '短评打分': 5}
{'短评内容': '客栈很干净，风格很独特，还帮忙免费升级了，谢谢老板', '短评打分': 5}
{'短评内容': '酒店位置和服务都还很不错，值得一住~环境也很简单小清新，足够住了~独自旅行的人可以多住一住，便宜实惠~', '短评打分': 5}
{'短评内容': '服务真心很棒，前台非常热情。我遇到的问题都能解决，十分不错', '短评打分': 5}
{'短评内容': '一起走过的路要走了。你就可以把一个好看', '短评打分': 5}
{'短评内容': '只是提前预定，住了再来评价', '短评打分': 5}
{'短评内容': '老板人很好，服务到位，还有礼品送 ', '短评打分': 5}
{'短评内容': '客栈在洱海门附近，很好找，古城的主干道人民路上。出去很热闹，吃饭也很方便。老板和小哥都很热情，我对象的剃须刀忘在房间，他们发现后来送，很不错的客栈。', '短评打分': 5}
{'短评内容': '挺好的。位置还算方便。有专人来接。定的房间不大好，加钱换了房间后还可以，挺特别的。不过屋子难免有些潮。设施还算齐全。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店不错 本来只打算住一晚 可是连续住了三晚 老板特别好 热情还免费给升级了房型 热水很好 房间干净 有天台可以洗衣服 晒衣服 重要的是和老人出行 他们都能睡的好 安静 老公一直说就像回家了一样', '短评打分': 5}
{'短评内容': '房间现房和网上照片差距太大，角落里没有阳光，最后补钱换了一间房子，周边都是些装修的房子，不过整个古城都这样，影响人的心情，在这里也建议大家来古城玩的真没必要住古城里，多走几步费点口舌一定能找到好点的房子，因为古城房子太多了', '短评打分': 3}
{'短评内容': '客栈环境不错 设备齐全  价格也实惠 服务也好', '短评打分': 5}
{'短评内容': '蓝鸟巢客栈是我们一路上住的最舒服地方！院子特别美！房间干净，优雅！老板一家人更是热情似火，给人感觉比在家还放松，赞?！！！', '短评打分': 5}
{'短评内容': '客栈地理位置非常好，就在古城里的人民路上，客栈院子很漂亮，房间干净，空调，电视，无线网络，热水都不错，加上老板的热情周到，一定好评！！！', '短评打分': 5}
{'短评内容': '小院布置的井井有条，房间非常干净，设施齐全，入住感觉舒适惬意。房间大、热水24小时保证，老板人好客、热情、大方，最让人放心的一是他们会介绍大理可口、健康又有特色的饭菜给你品，价格又还公道，很好，很漂亮，以后还到这里来！！！', '短评打分': 5}
