{'descr': '住一个月，经济型里边算好的，房间大，干净，水大。安静。开车方便，地铁不是很方便，公交三站路。周边生活配套齐全。', 'star': 4}
{'descr': '房间和设备都很老旧了，胜在周边生活方便', 'star': 3}
{'descr': '非常不错的酒店，以后还会入住。', 'star': 5}
{'descr': '这家酒店离公司很近，每次同事出差来，都会选择这家酒店，骑个自行车很方便，总体设施还是蛮新的，下次还会选择这家。', 'star': 5}
{'descr': '房间大、而且有阳台。性价比很高', 'star': 5}
{'descr': '很好:', 'star': 4}
{'descr': '房间很宽敞，干净，住着不错很舒服好评好评好评', 'star': 5}
{'descr': '1', 'star': 5}
{'descr': '环境交通都挺方便', 'star': 4}
{'descr': '为了考试订的房间，离考场很近，很方便。浴室没有梳子', 'star': 4}
{'descr': '房间还可以，就是位置有些偏，不方便', 'star': 4}
{'descr': '一般', 'star': 3}
{'descr': '上海办事去住了一晚 挺整洁的 配套可以', 'star': 5}
{'descr': '马马虎虎', 'star': 3}
{'descr': '房间很大，很干净，周边环境很安静。总体不错，下次还会去住', 'star': 5}
{'descr': '在附近考试，所以定在这边，不过其实离得也挺远，酒店房间还算干净！', 'star': 4}
{'descr': '整体感觉不错，就是我住的房间阳台对着施工工地，不太让人舒服。', 'star': 3}
{'descr': '环境还行！', 'star': 3}
