{'短评内容': '不错不错不错。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店标价豪华客房288，携程价格428，不知该如何评判。', '短评打分': 2}
{'短评内容': '没有早餐，没有洗漱用品方（有收费的5元一套），枕头上有一根小卷毛，还有个令人失望的是买的茶叶放在桌子上，退房还查了收费的，居然没有看到茶叶，我表示很无奈。', '短评打分': 3}
{'短评内容': '还不错！就在家门口', '短评打分': 5}
{'短评内容': '除了老板脸黑，其他都挺好的', '短评打分': 5}
{'短评内容': '除了老板脸黑，都挺好的。', '短评打分': 5}
{'短评内容': '酒店位置好，服务好，房间大安静，价格优。好评。', '短评打分': 5}
{'短评内容': '酒店位置好，服务好，给前台妹子和卫生阿姨点个赞，房间不错价格公道，下次还来。', '短评打分': 5}
{'短评内容': '服务不错，希望多放出点优惠。', '短评打分': 5}
{'短评内容': '离联通公司很近，酒店里面阳光很充足，房间够大。', '短评打分': 5}
{'短评内容': '比较便宜，环境还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '卫生条件是真差，犄角旮旯全是脏东西，卫生只做表面的，文字多', '短评打分': 3}
{'短评内容': '凑合住', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '酒店勉强可以，离植物园近', '短评打分': 3}
{'短评内容': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 3}
{'短评内容': '周边环境不错，房间比较干净，交通还算方便。', '短评打分': 4}
{'短评内容': '酒店周边设施不错，环境可以', '短评打分': 5}
{'短评内容': '大堂没空调，夏天太热，押金交太多，一晚500，我住两晚压了一千。', '短评打分': 1}
