{'短评内容': '很一般，不怎么舒适', '短评打分': 3}
{'短评内容': '房间很差，空调也不行', '短评打分': 2}
{'短评内容': '好评！交通便利！房间设施齐全。酒店饮食娱乐齐全', '短评打分': 5}
{'短评内容': '周围比较吵，其他还好', '短评打分': 3}
{'短评内容': '房间比较干净，周边环境也还好。不足的是房间内没有免费矿泉水，电梯里味道太杂，感觉不卫生', '短评打分': 5}
{'短评内容': '卫生一般', '短评打分': 4}
{'短评内容': '酒店楼下就是ktv，晚上很吵，喜欢安静的人就不要考虑了。周边吃和交通都不是很便利，我是朋友帮订没有办法。里面装修也有点旧', '短评打分': 3}
{'短评内容': '环境一般般', '短评打分': 4}
{'短评内容': '最大的吸引点就是价格低！卫生一般吧，其中一床的一个枕头上有两滴像洗不掉污渍，床单好像没有换一样！服务前台还不错，但是服务房间的阿姨态度就很一般！晚上睡觉，居然被楼下的ktv吵醒！这么便宜的价格，其实也就这样的房间，无所谓啦！', '短评打分': 3}
{'短评内容': '棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒', '短评打分': 4}
{'短评内容': '住了很多次了，有风筒wifi赞一个，性价比还好', '短评打分': 5}
{'短评内容': '首先赞扬下服务员的态度不错，每次过来都会很客气哦！呵呵～～～', '短评打分': 3}
{'短评内容': '位置优越！服务较好', '短评打分': 4}
{'短评内容': '房间蛮干净，但是厕所下水道很臭，望改善', '短评打分': 4}
{'短评内容': '环境还可以，就是没有停车场，停车很麻烦，这个是硬伤啊', '短评打分': 5}
{'短评内容': '比较舒适，就是比较吵……………………………………', '短评打分': 5}
{'短评内容': '清明节假期那时入住了，酒店外观还好，就是房间空间不够大、设施不够。床也太小了。', '短评打分': 1}
{'短评内容': '特地挑了一家江边的酒店，景观不错，给我们的都是看江的房间。但是房间里酒店里特有的霉味比较重。总体是性价比比较高的一家店。', '短评打分': 5}
{'短评内容': '酒店的隔音不好，晚上都很嘈。其他还可以。', '短评打分': 1}
{'短评内容': '房子太小了，被子有点脏，感觉不是很好', '短评打分': 3}
{'短评内容': '房间的床太小了', '短评打分': 3}
{'短评内容': '环境不错.离潭江很近.去江边散步是不错的选择.如果房间能配备暖气那就更好.前几天去天气实在太冷了!', '短评打分': 5}
{'短评内容': ' 服务不错，环境好好，性价比非常高，以后都住这里！', '短评打分': 3}
{'短评内容': '进来酒店整体感觉还不错，虽然装修有点旧了，还是挺干净的，唯一的不足是电视和空调的遥控器里的电池都已经坏了，希望以后能注意更换！', '短评打分': 3}
{'短评内容': '装修一般，环境挺干净，电视有点小，电源的声音有点干扰，晚上要关电闸才睡得。', '短评打分': 3}
{'短评内容': '挺好的，有个窗户，好。。。。。。。。。。。\n', '短评打分': 5}
