{'短评内容': '很不错！酒店还可以！！', '短评打分': 5}
{'短评内容': '还不错，比较干净，离景区比较近！对面有小吃街！就是酒店自己的餐饮部饭太贵，对面500米有土家菜较便宜', '短评打分': 5}
{'短评内容': '卫生状况一般，早餐免费但是种类太少，景区里大概都是这个标准', '短评打分': 5}
{'短评内容': '非常不错！很满意！下次还来', '短评打分': 5}
{'短评内容': '非常不错(*๓´╰╯`๓)♡', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '一个字，差', '短评打分': 2}
{'短评内容': '这样的宾馆！携程就不应该合作！', '短评打分': 2}
{'短评内容': '装修及设备太落后，网速太慢，电视一般，早餐服务很好，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位于景区内，交通便利，距离台怀镇景区2公里左右（必去的五爷庙，姝像庙，还有不远处的黛螺顶）。入住房间大床舒适，用品齐全，热水供应因属山区分早晚时段，房间无空调（还是山区凉快）。友情提示:洗头发需自带吹风机。入住满意！', '短评打分': 5}
{'短评内容': '房间的温度很好，找到家的感觉。WI-FI信号也很满意，房间门口就有路由器，不存在信号弱的现象。房间隔音效果不好，隔壁有打麻将的，听的很清楚。卫生间的淋雨大喷头不出水，小喷头固定不住，但是水很冲很热。老板人很热情，赠送的早餐券。以后去五台山还会选择这家。', '短评打分': 4}
{'短评内容': '酒店位于景区内，交通便利，距离台怀镇景区2公里左右（必去的五爷庙，姝像庙，还有不远处的黛螺顶）。入住房间大床舒适，用品齐全，热水供应因属山区分早晚时段，房间无空调（还是山区凉快）。友情提示:洗头发需自带吹风机。入住满意！', '短评打分': 5}
{'短评内容': '服务态度太差', '短评打分': 4}
