{'短评内容': '酒店的房间设计不错，床也很舒服，就是房间有点小。早餐不是种类很多，但也可以，位置不错，但是打车不方便。', '短评打分': 4}
{'短评内容': '环境优美，服务周到，房间干净卫生，停车方便，交通便利', '短评打分': 5}
{'短评内容': '很不错的呢', '短评打分': 5}
{'短评内容': '不错 下次来还会选择这家', '短评打分': 5}
{'短评内容': '很好，舒服', '短评打分': 5}
{'短评内容': '还不错，设计很有特点，青年旅社，科技感十足，但是莫名其妙晚上灯自动开了两回，有些无法理解和吓人，可能触摸屏幕出问题了。太科技了', '短评打分': 5}
{'短评内容': '出游就选这里，真的很棒', '短评打分': 5}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '环境超级赞！房间也干净舒服！老板前台态度也很好，很舒服的住宿体验', '短评打分': 5}
{'短评内容': '环境非常好阿 很文艺的地方呢 房间里面也是那种很干净的蓝色 楼下有吧台有桌球台 前台服务也很好 人很多', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，便宜', '短评打分': 5}
{'短评内容': '酒店很干净。。。', '短评打分': 5}
{'短评内容': '还可以，挺干净的！', '短评打分': 5}
{'短评内容': '冬季屋内有点冷', '短评打分': 5}
