{'短评内容': '方便卫生', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '性价比高点  离万达和汽车站近', '短评打分': 4}
{'短评内容': '位置优越，和万达广场非常近', '短评打分': 5}
{'短评内容': '干净卫生，设施都很齐全，每次来都住这里', '短评打分': 5}
{'短评内容': '房间很好，宽大，干净卫生。', '短评打分': 5}
{'短评内容': '卫生和服务不错', '短评打分': 5}
{'短评内容': '服务人员态度不错，房间环境一般，不过相对这个价格还是不错的。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '已经多次入住，今天服务员态度非常好。唯一缺憾是地漏水封不好有异味，洗浴龙头冷热方向不对。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '昨晚入住，服务很好，房间也很干净。很好。值得推荐。', '短评打分': 3}
{'短评内容': '不错，环境好，挺干净，房间也挺大，值得推荐！', '短评打分': 5}
{'短评内容': '热水洗澡，忽冷忽热，水温不稳定，台灯还坏的。。出门有公交站点，算是方便吧。总体感觉干净。还可以吧', '短评打分': 5}
{'短评内容': '五一期间第二次入住了，酒店很新很干净卫生，设施也很全，液晶电视电脑，网速超快！推荐哈！这一次两个房间隔得比较远，不过还好在一个楼层上，希望酒店下次安排的时候考虑周全，只是建议哈！推荐大家入住哈！', '短评打分': 5}
{'短评内容': '酒店很新很干净卫生，设施也很全，液晶电视电脑，网速超快！推荐哈！', '短评打分': 5}
{'短评内容': '交通不方便，晚上洗澡既然没有热水………………', '短评打分': 1}
{'短评内容': '还不错，就是交通不是很方便，周边吃饭的地方较少…………', '短评打分': 5}
{'短评内容': '不错  一直住的这家  房间很宽敞，床品也不错，地理位置也可以，价位适中，有免费早餐，推荐哦', '短评打分': 5}
{'短评内容': '白天热水是太阳能的，不热，没法洗澡，晚上会听到KTV唱歌，其他都行，空间挺大的', '短评打分': 3}
{'短评内容': '位置很好就在路边很好找！房间也不错值得推荐。床有点硬后来加上棉垫就好了~', '短评打分': 5}
{'短评内容': '房间很大，很干净，真的很不错，下次还会住。', '短评打分': 5}
{'短评内容': '服务很好,房间很宽敞。我会向更多的朋友介绍海澜', '短评打分': 3}
{'短评内容': '房间什么的都不错，尤其是服务员态度都很好。不过就是早餐很一般，而且鸡蛋每人只能吃一个，可怜了我这种爱吃鸡蛋的人。还是推荐一下～', '短评打分': 3}
{'短评内容': '很好的酒店，住过很多次了，房间空间比较大，距离汽车站很近，而且免费接站~距离利群，振华等大超市也很近，卫生很好，住过的酒店中性价比很高的一家了~~推荐', '短评打分': 5}
