{'短评内容': '不错很好 很多很好', '短评打分': 5}
{'短评内容': '不错很好 很多很好', '短评打分': 5}
{'短评内容': '经常住，还是不错的', '短评打分': 5}
{'短评内容': '交通便利，环境好，服务热情。', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '空调不暖，暖气不热，屋子没地儿挂衣服', '短评打分': 4}
{'短评内容': '酒店挺好的。  位置在二环内。 就是附近停车不方便。   还有房间有点小。 卫生间更不用说了   第一次去的话有时候可能房间不好找 ', '短评打分': 5}
{'短评内容': '本来定三晚上，退了两晚', '短评打分': 4}
{'短评内容': '很差很差的房间，家庭房大小就是十个平方而已，除了一大一小的床再无空余。\n装修很low，80年代五线小县城的品味，满满的KTV大保健浴场的风格真的很 low。房间暑期高峰周末还要350+。要吐了。', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '全网最低价，方便、快捷！赞?', '短评打分': 5}
{'短评内容': '房间特别小，真对的起北京寸土寸金的说法', '短评打分': 5}
{'短评内容': '宾馆房间，有点儿小，其他都还好就是下水道管子坏了，跟他说了好几遍，都没来修这个，有点儿不开心', '短评打分': 5}
{'短评内容': '来住过很多次了，前台服务也很好非常热情，卫生环境也不错，周边吃的也很多', '短评打分': 5}
{'短评内容': '挺好的，还会再来住', '短评打分': 2}
{'短评内容': '挺好的，还会再来住', '短评打分': 2}
{'短评内容': '挺好的，还会再来住', '短评打分': 2}
{'短评内容': '挺好的，还会再来住', '短评打分': 2}
{'短评内容': '感觉像进了ktv一样', '短评打分': 4}
{'短评内容': '太小了 真的太小了 凑活住', '短评打分': 4}
{'短评内容': '挺好的 就是我开始定的房间没有窗户 后来换了个有窗户的也是加了钱的 整体不错 但是没有反锁只是门关上就锁了 ', '短评打分': 5}
{'短评内容': '房间还不错，住了好几次了！', '短评打分': 5}
{'短评内容': '网上房间照片上有通风窗户，可到了酒店之后预定的房间没有通风窗户，分不清白天黑夜，常时间呆在里面头会发晕。让客服调换房间，说是定的房间与网上照片有不一样的。很无奈', '短评打分': 3}
{'短评内容': '房间是超级小，并且洗澡得在马桶上，真的很不舒服，估计是新装修的原因吧，里面的很多设施都有问题，房间的密码在第一天竟然都打不开，每次都得叫服务员，还有电视也坏了一天，真的是有点倒霉，什么都赶上了，前台的服务也不怎样，除了交通方便，另外真的有点失望的。', '短评打分': 1}
{'短评内容': '位置不错，环境很好，装饰很时尚，整体来讲还算OK！', '短评打分': 5}
{'短评内容': '禧龙夕照寺店服务热情，房内设施简洁实用。', '短评打分': 3}
{'短评内容': '性价比还不错', '短评打分': 3}
{'短评内容': '价格合理，童叟无欺，只是房间稍小，那些有偿使用的东东还占了好大的空。', '短评打分': 5}
{'短评内容': '禧龙宾馆夕照寺店经济，时尚，舒适，周到。总体不错。', '短评打分': 3}
{'短评内容': '前台服务态度不好.房间有异味.而且房间很小，住的不舒服', '短评打分': 1}
{'短评内容': '出行还算方便、周围吃饭的地方有点少、每天上网有点麻烦、总体还好、下次来北京还会住这里', '短评打分': 5}
{'短评内容': '房间不错，性价比比较高，还会入住', '短评打分': 3}
{'短评内容': '房间虽小，还是蛮不错的，门的隔音不怎么样，走廊声音大', '短评打分': 5}
{'短评内容': ' 房间一早十点就开始催退房，房间小，潮湿，总体感觉不好，以后再不会去住', '短评打分': 3}
{'短评内容': '禧龙夕照寺店环境较好，设施较全。不足之处就是离大的公交车站有900米左右远，开具住宿发票有时不及时，需要注意。', '短评打分': 3}
{'短评内容': '  没电视信号！', '短评打分': 3}
{'短评内容': '房间大小不一，好的很好，差的很差！我这次住的感觉不错。', '短评打分': 5}
{'短评内容': '    不错', '短评打分': 3}
{'短评内容': '禧龙宾馆夕照寺店服务好，设施全，装修风格新颖，是年轻朋友居住好地方。不足之处就是离大的公交站台较远，800米', '短评打分': 3}
{'短评内容': '总体感觉还不错，属于主题型的，就是屋子有点太小了，其它的还好。', '短评打分': 5}
{'短评内容': '1、房间给人压抑的感觉  2、发票问题：给朋友预订的这家酒店，住宿两天，由于是月底，说没有发票，留下地址说寄过去，一个月过去，多次打电话追问，只说是寄挂号信，其他人寄的，服务台查不出，真不知是寄丢了还没根本没寄', '短评打分': 1}
{'短评内容': '禧龙宾馆夕照寺店服务很好，宾馆装饰新潮，价格适中，设施较全，性价比比较高，是年轻人旅游居住首选。赞一个。', '短评打分': 3}
{'短评内容': '在2环内，这家宾馆的价格算是比较公道了。环境稍微有点差，但还不错', '短评打分': 5}
{'短评内容': '房间虽小，但整体不错', '短评打分': 3}
{'短评内容': '整体感觉还可以 就是房间有点小', '短评打分': 3}
{'短评内容': '房间有点小，而且不干净', '短评打分': 3}
{'短评内容': '总体来说不错，房间很小但五脏俱全。最赞的是冰箱里的饮料全是市价销售，饮用很方便。意见有两点：一是前台工作人员效率较慢，在只有我一位客人办理入住的情况下，check-in居然在你们的说说笑笑中办了15分钟。预定价格竟然自己不知道，还要问客人，希望加强业务能力。二是交通不太方便，在崇文门地铁站门口打了至少有3辆车不知为什么都不来这里，12路公交车也是踪迹难寻。第二天暴雨更是冒雨走了足足三站路才回来。总', '短评打分': 5}
{'短评内容': '7月21号晚上，有一个前台的女的，服务态度很不好', '短评打分': 1}
{'短评内容': ' 酒店环境一般，啥都要钱，要啥都没有，连个吹风筒还要自己买，浴室排水不好', '短评打分': 3}
{'短评内容': '我这房间已经入住，没有窗户，很失望！', '短评打分': 3}
{'短评内容': '该酒店位于北京东城区二环，离市中心近，服务好，交通便利，价格实惠，虽然房小，但五脏俱全，不错，赞一个', '短评打分': 5}
{'短评内容': '房间布置很温馨，干净，虽说空间小些，但设施很齐备，会向朋友推荐的', '短评打分': 5}
{'短评内容': '感觉还不错！挺喜欢的风格', '短评打分': 3}
{'短评内容': '总体来说还可以，在北京二环内对得起这价格，设施还算是完善，但是隔音效果很差，隔壁在干什么全能听到，服务还算是热情周到，但是建议以后来住的人进房间先看看房间里的玻璃有没有裂痕。因为我入住的时候没有查看，到结账的时候有个前台主管偏说我把玻璃弄裂了，一会说我热水给弄裂的，一会又说我抽烟给弄裂的，我就纳闷了，我和你们冰箱里准备的矿泉水为什么还要热水呢？而且抽烟会把玻璃给烫裂么？而且态度很恶劣！所以给要住这', '短评打分': 5}
{'短评内容': '当时赶上周末，很多地方都订不到房间，这里离公司比较近，周围也比较繁华，偏生活区，酒店的房间很小，虽是大床房可是只一个人住都觉得挤，洗手间没有门，下水口会反味，不太理想。', '短评打分': 5}
{'短评内容': '在这里住了五晚，感觉还不错，干净整洁，价格也合理，我定的是无窗大床房，价格168，还行！', '短评打分': 5}
{'短评内容': '除了隔音不太好，房间有点小，但这是北京的普遍情况，别的条件还不错，值得推荐，下次来还住这，什么都挺方便的，物有所值。', '短评打分': 5}
{'短评内容': '还好一般吧，房间有点小，其他都还好~~~~', '短评打分': 5}
{'短评内容': '便宜实惠、、、整体感觉还行，非常迷你。。。', '短评打分': 5}
{'短评内容': '大床间总体偏小，洗澡间没有门，没有酒店的感觉，整体比较压抑，还有交通也略微不方便。看中价格的可以入住。', '短评打分': 1}
{'短评内容': ' 房间还不错就是小点', '短评打分': 3}
{'短评内容': '环境不错，服务业周到', '短评打分': 3}
{'短评内容': '这是一个神奇的宾馆！其他都不错，性价比高，唯一就是隔音不好。', '短评打分': 5}
{'短评内容': '忘了说  插排没有 插口较少 卫生间里没有吹风机 但是房间布置很漂亮 蛮浪漫的  还是值得推荐的 毕竟在首付嘛性价比是相当高的 所以还会选择这里', '短评打分': 5}
{'短评内容': '优点:位置离北京站很近 坐车两站地就可以 附近小吃蛮多的 还有超市也蛮方便 进房间需要输入密码 很方便也很新颖 房间有零食有水跟饮料省去了很多麻烦 房间里设施满足个人需求     缺点:房间隔音效果不好 隔壁开空调的声音都能听到 但是还好顾客素质都蛮高的 没有大声说话跟吵闹  我订的是窗户的大床房 屋子很小 没有挂衣服的地方 卫生间在洗澡的时候会有积水 可能水漏的口比较小 因为无窗户嘛 所以通风不', '短评打分': 5}
{'短评内容': '楼道真漂亮', '短评打分': 3}
{'短评内容': '房间很干净，后面有免费停车场，但不是每个车位都可以停，要跟停车场管理员说清楚是前面宾馆的才可以停。', '短评打分': 5}
{'短评内容': '周围环境不错！吃饭很方便，楼下有好几家饭店，味道很好，价格也不贵！', '短评打分': 5}
{'短评内容': '位置很好！相对于在市中心的酒店，价格算比较便宜！', '短评打分': 5}
{'短评内容': '前台姐姐，态度很好的 酒店也挺干净的  不错', '短评打分': 5}
{'短评内容': '酒店不错，很有现代气息，室内东西也很全，麻雀虽小，五脏俱全，不过插头有点少', '短评打分': 5}
{'短评内容': '其他都可以，就是网络老断，反应了很多次也没有解决', '短评打分': 5}
{'短评内容': ' 房间小 水流很大 还不错', '短评打分': 3}
{'短评内容': '空间不大，卫生还行，就是网络老断，总体上性价比挺高的', '短评打分': 5}
