{'短评内容': '太吵了太吵了真的真的太吵了，完全睡不着', '短评打分': 5}
{'短评内容': '好，不错，每次来都住莫泰！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境很好，住了很多次了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '16的就别去了', '短评打分': 5}
{'短评内容': 'x位置好', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '我觉得，莫泰是整个内江经济型酒店最好的了吧。回家首选', '短评打分': 5}
{'短评内容': '酒店各方面还可以。', '短评打分': 5}
{'短评内容': '住了这么多的经济型酒店，莫泰留给我的印象是最好的！价格实惠、清洁卫生，最重要的是：整理房间的大姐服务非常好！非常满意！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧，每次都住这里，服务可以，下次来也还住这里把', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '住进宾馆，环境不错，虽然在城中心，但感觉不到城市的喧嚣，服务阿姨的态度非常不错，房间打扫的干干净净，非常棒！', '短评打分': 5}
{'短评内容': '好住，交通便利，卫生干净！', '短评打分': 5}
{'短评内容': '不错啦！很好都成了常客了，每次去都是住莫泰。', '短评打分': 5}
{'短评内容': '好评，每次都是住莫泰酒店。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很不错哦。。。。', '短评打分': 5}
{'短评内容': '还可以。经常住', '短评打分': 5}
{'短评内容': '酒店位置在市中心，交通便利。卫生整洁干净，服务员态度好！每次来都住莫泰！', '短评打分': 5}
{'短评内容': '习惯住莫泰了，前台的小妹服务态度好的让你不要不要的。', '短评打分': 5}
{'短评内容': '环境好，每次回老家都住莫泰', '短评打分': 5}
{'短评内容': '还好吧。一直都住莫泰。干净', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以可以，下次继续住。可以可以，下次继续住。', '短评打分': 5}
{'短评内容': '环境太差', '短评打分': 5}
{'短评内容': '出差方便，好找', '短评打分': 4}
{'短评内容': '价格合理，离市区近', '短评打分': 4}
{'短评内容': '地方比较好找', '短评打分': 4}
{'短评内容': '离中央街比较近', '短评打分': 4}
{'短评内容': '总体来看算不错了我还算比较满意', '短评打分': 5}
{'短评内容': '总的来说还可以的，房间空间大，就是没有什么东西，连一个柜子都没有。推荐入住', '短评打分': 4}
{'短评内容': '这个价格还是算很便宜了，所以房间设施相对来说就没有很高要求，整个房间蛮干净的，楼下也有吃饭洗头的地方，去哪都很方便，住16楼，靠外面的房间都有点吵 隔音不是很好。。。。', '短评打分': 5}
{'短评内容': '还行，便宜。离办事的地方近。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错的酒店，感觉床垫有点硬', '短评打分': 5}
{'短评内容': '还行哈，服务员还不错态度挺好，早餐也还好就是没有煎蛋，稀饭鸡蛋很早就没了', '短评打分': 5}
{'短评内容': '地处市内繁华的商业中心，交通很方便，不过房间隔音不太好有点吵，早餐品种丰富，算的上物超所值。', '短评打分': 5}
