{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '很近，很干净很好，老板免费接送～人挺好的～晚上睡觉也很安静，也有饮水机～外面就夜市吃小吃的，老板还在半夜被我叫起来去接朋友也没有任何怨言……两口子都很和谐的，卫生也很不错，主要价格便宜质量又好.', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '应该说，全国各地住宿过的酒店也算不少了，这次，是最差的一次体验，个人心情非常糟糕，估计会郁闷好一阵子！', '短评打分': 2}
{'短评内容': '姐', '短评打分': 5}
{'短评内容': '还行，环境不错，下次还来', '短评打分': 5}
{'短评内容': '很好，很喜欢，地理位置不错，附近很多吃的，房间也很不错', '短评打分': 5}
{'短评内容': '一般一般吧', '短评打分': 4}
{'短评内容': '一般一般吧', '短评打分': 4}
{'短评内容': '一般一般吧', '短评打分': 4}
{'短评内容': '一般一般吧', '短评打分': 4}
{'短评内容': '一般一般吧', '短评打分': 4}
{'短评内容': '干净卫生，交通方便。', '短评打分': 3}
{'短评内容': '干净卫生，交通方便。', '短评打分': 3}
{'短评内容': '还可以 价格合适', '短评打分': 4}
{'短评内容': '酒店不错，值得入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉还不错～服务态度不错，卫生条件挺好的……', '短评打分': 5}
