{'descr': '条件一般，但价格便宜，周边小饭店比较多。', 'star': 3}
{'descr': '价格合理，就是设施有点差，电视吱吱响，住的那屋网线还坏了', 'star': 5}
{'descr': '酒店房间窄小，周围环境嘈杂！服务其差，要一包卫生纸，都得自己下楼取！为开发票竟耗时60分钟！', 'star': 1}
{'descr': '酒店环境还行 地处偏僻 热水空调什么的都不错房间也够大 就是隔音差 半夜被吵醒了 店员服务态度一般', 'star': 3}
{'descr': '还行，这个价钱值了~~~~~~~~~~~~~~~\n       ', 'star': 5}
{'descr': '价格便宜，服务一般般吧', 'star': 3}
{'descr': '靠近十三陵旅游区呀价格也还行吧。要求太高的人不推荐', 'star': 5}
{'descr': '靠近地铁。靠近医院。靠近十三陵，价格适合大众', 'star': 5}
{'descr': '出行很方便，这个价位在北京来说已经不错了，适合对服务要求不高的旅行者入住', 'star': 5}
{'descr': '价格低，能满足晚上过夜的需求~~环境也还行吧，只是设施寒酸了点儿~~', 'star': 5}
{'descr': '环境不错，房间挺大，周边吃的很多，性价比不错，价格合适', 'star': 5}
{'descr': '还不错。挺干净的，价格也很合理，交通比较方便，离八号线不太远。就是有点偏僻，建议出门坐地铁。', 'star': 5}
{'descr': '一般，位置比较偏僻，洗澡间太简陋，而且是电烧的。', 'star': 1}
{'descr': '方便 离地铁口很近 周边也很热闹  房间比较干净  环境不错  安静  虽然地方相对远点 但是这个价位也比较值了  ', 'star': 5}
{'descr': '还行。。。没有宽带，离鸟巢二十多分钟地铁。。不过有地方住就好', 'star': 1}
{'descr': '要不是我临时需要房我才不会住这里，垃圾卫生环境', 'star': 1}
{'descr': '还行，感觉挺干净的。就是不知道我大床饭怎么变成双床房了。', 'star': 1}
{'descr': '还不错，特价房138。住过附近小旅店，100，条件比这个差多了', 'star': 5}
