{'短评内容': '东西不错，给个好评吧。', '短评打分': 5}
{'短评内容': '环境好，房间大', '短评打分': 5}
{'短评内容': '环境有点旧，但是很干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '舒适、安全、卫生', '短评打分': 5}
{'短评内容': '房间整体还可以，就是马桶没有清洗，有味。其它方面都还不错。周边环境还行，吃饭、买东西都还挺方便的，多次入住了。', '短评打分': 4}
{'短评内容': '没明白这是什么东西。', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '不错。交通也方便', '短评打分': 5}
{'短评内容': '酒店房间里灰尘太多了，而且空调声音特别大，但是服务还不错。酒店后面一个很大的锅炉房，噪声特别大，夜晚影响休息。', '短评打分': 4}
{'短评内容': '酒店环境不错，主要是离火车站很近', '短评打分': 5}
{'短评内容': '周边环境一般，有点贵', '短评打分': 4}
{'短评内容': '酒店没有自助早餐，房间连免费矿泉水都没。电梯没有显示楼层的面板', '短评打分': 3}
{'短评内容': '房价优惠，环境好，空间大。', '短评打分': 5}
{'短评内容': '真心不错，尤其是服务员的服务态度，非常不错！', '短评打分': 5}
