{'短评内容': '比较一般化吧', '短评打分': 2}
{'短评内容': '位置还不错，房间也可以', '短评打分': 5}
{'短评内容': '卫生服务好。', '短评打分': 5}
{'短评内容': '老牌酒店，设施有些老化', '短评打分': 4}
{'短评内容': '住宿条件都可以，环境也不错～就是服务略差，入住后携程显示没有入住，无法返现，给酒店打了N个电话之后，最后发现酒店把客人姓名登记错了。。。', '短评打分': 5}
{'短评内容': '设备等稍旧了', '短评打分': 5}
{'短评内容': '武', '短评打分': 5}
{'短评内容': '酒店有点老', '短评打分': 3}
{'短评内容': '酒店太垃圾，又脏又破。', '短评打分': 1}
{'短评内容': '还可以，只是设备比较老旧，地毯比较脏', '短评打分': 4}
{'短评内容': '冬天盖被薄如毯，空调坏了算正常。电梯基本不能用，不知携程如何看。', '短评打分': 2}
{'短评内容': '酒店在一个十字路口拐角处，应该算是闹市区吧。设施有点老，不太好使。楼里还有其他公司办公人员，比较杂乱。', '短评打分': 3}
{'短评内容': '物超所值', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '非常好，出行方便，进城或去新区都方便，干净卫生。', '短评打分': 5}
{'短评内容': '网上预定给的房型不好，要么靠近楼梯，要么最后一间临着马路，就冲着好吃的饭来的', '短评打分': 5}
{'短评内容': '该酒店有两份早餐两份晚餐，饭还不错，酒店卫生干净，值得入住。', '短评打分': 3}
{'短评内容': '服务员服务态度好差，饭菜不错，含有早餐和晚餐', '短评打分': 5}
{'短评内容': '早餐晚餐免费，味道不错，整体很好，就是服务员服务态度太差', '短评打分': 5}
{'短评内容': '還不錯,在臨汾這個小地方算不錯了,還有附贈晚餐', '短评打分': 5}
{'短评内容': '含晚餐倒是不多见，酒店条件不错，交通也方便，推荐', '短评打分': 5}
{'短评内容': '房价贵，设施陈旧，12楼的KTV吵得要命，住9、10、11的朋友千万要求换房，第二天开发票等了一个多小时说是会计把金穗卡拿走抄税去了，而且还几次如此，服务人员态度极为不好，送的早餐晚餐确实一般，不过白让你吃的东西倒也不好点评，下次倒贴钱也不住了', '短评打分': 1}
{'短评内容': '价格贼高，但是临汾有性价比高的酒店吗？？送的晚餐也一般！！', '短评打分': 5}
{'短评内容': '酒店房间还不错，床睡起来很舒服，早餐还可以，就是刚来时。不知道为什么自来水是黄色的，连服务员也不知道，因为他看别间房也是，后来就好了，管理还是有待提升，而且房间没有不断电插座，应该要提升一下', '短评打分': 5}
{'短评内容': '还不错，晚餐很一般还不错，晚餐很一般还不错，晚餐很一般还不错，晚餐很一般还不错，晚餐很一般', '短评打分': 5}
{'短评内容': '超級爛的酒店! 餐廳餐盤都是髒的! 還有沒洗乾淨的飯粒及醬汁! 房間客房的水是黃色的! 門會無故的上鎖,完全無法打開! 服務員要撬開才能打開! 大家千萬別再上當了! 千萬別助這家酒店!', '短评打分': 1}
{'短评内容': '没有想象的好,比较旧。', '短评打分': 3}
{'短评内容': '不错，服务和环境都不错，价格也算便宜了。区位也还可以，离市中心也挺近的。', '短评打分': 5}
{'短评内容': '富世龙酒店房间不错，豪华标间房间很大，装修不错，干净整洁，美中不足就是自助早餐种类少，味道一般！', '短评打分': 3}
{'短评内容': '还行吧  价格也比较合适  早餐也比较丰富', '短评打分': 5}
{'短评内容': '酒店位置不错，住的豪华间，房间面积很大，设施不错，早餐丰富，包含的自助晚餐很可口，值得入住。 \n', '短评打分': 5}
{'短评内容': '物有所值！下次还会选择,如果接个再低点就更好了！', '短评打分': 5}
{'短评内容': '服务不错.', '短评打分': 3}
{'短评内容': '不错.物超所值,服务周到,价位再低点就更好了.', '短评打分': 3}
{'短评内容': '不错,第一次住含早,晚餐的酒店,超值！', '短评打分': 3}
{'短评内容': '酒店位置不错，住的豪华间，房间面积很大，设施不错，早餐丰富，包含的自助晚餐很可口，值得入住。', '短评打分': 5}
{'短评内容': '酒店的楼层服务还不错，一叫就到，有包晚餐也很方便，就是每天要消磁较麻烦。', '短评打分': 5}
{'短评内容': '在临汾应该算是不错的酒店了，但价格太贵了，感觉不值', '短评打分': 1}
{'短评内容': '总体不错，环境、设施、服务等。美中不足，春节期间不含双晚（餐），早餐加人50元/位不便宜，房间的须刨要收费10元。', '短评打分': 5}
{'短评内容': '房间设施一般，地段不错，接待也不错，还送自助早晚餐，交通方便，窗户关不紧，好像就关不住', '短评打分': 1}
{'短评内容': '却是很好  是个不错的酒店  位置也不错  停车也方便', '短评打分': 5}
{'短评内容': '订了两种房型，所以还能再点评一次，这个酒店里壶口瀑布不远，我是早上从西安出发，中午到的壶口，为了第二天去太原方便，所以选择住在了临汾，临汾离G5高速很近，去太原非常顺。从壶口到临汾走的是309国道，等G22高速壶口到临汾段通了，就更方便了。', '短评打分': 5}
{'短评内容': '设施，服务一流，自助晚餐一般，但是吃饱绝对没问题。在陌生的城市过夜总担心车辆的安全，酒店有自己的停车场，可以免去我的后顾之忧，推荐', '短评打分': 5}
{'短评内容': '酒店服务很好，赠送自助晚餐可算特色，到壶口瀑布等地旅游，建议入住！', '短评打分': 5}
{'短评内容': '还不错，就是贵点！赠送的晚餐一般，但是毕竟是送的嘛！', '短评打分': 5}
{'短评内容': '这里环境不错，也比较卫生，还管晚餐，自助的东西也不好。地理位置也好，我下次去，还计划住这里', '短评打分': 5}
{'短评内容': '很不错我推荐', '短评打分': 3}
{'短评内容': '临时途经临汾经客服推荐入住，虽不是特别完美，但还算过得去，酒店送早晚餐，到店稍晚一点，晚餐没什么可吃的了，第二天的早餐很丰盛。', '短评打分': 5}
{'短评内容': '早餐差劲差差劲劲差差劲劲差劲差劲差劲差劲差劲', '短评打分': 1}
{'短评内容': '不错，下次还住这。在二级城市，这种酒店算很不错了。', '短评打分': 5}
{'短评内容': '在二级城市，这种酒店算不错了。已经第二次入住。', '短评打分': 5}
{'短评内容': '第一次遇见有送晚餐的酒店，凑合吧，总体还不错，房间也比较干净，希望下次不要再安排靠近电梯的房间。', '短评打分': 5}
{'短评内容': '含早晚餐，还不错，缺点：当晚我住11层，12层是KTV，非常吵，以后记得不能定11层的房间。', '短评打分': 5}
{'短评内容': '条件还可以，位置好周边交通出行方便，而且客房条件也很好，整体来讲还行.', '短评打分': 5}
{'短评内容': '环境还不错，位置还是挺好找的，房间住着也很舒适卫生挺干净的，态度还是挺一般，性价比还是一般感觉和星级等级不是很符。', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '住宿条件不错，自助餐也很好，酒店服务也不错，就是前台的态度一般。', '短评打分': 5}
{'短评内容': '在临汾还算不错了，比较干净，包早晚餐，就是晚上有些吵，靠近KTV了。。。', '短评打分': 5}
{'短评内容': '酒店交通便利，送早晚餐，就是毛巾有点旧了，建议更换一批新的。', '短评打分': 5}
{'短评内容': '住的很舒服，真的是不错的酒店啊，一定会向朋友们推荐的啊！！！！', '短评打分': 5}
{'短评内容': '位置好，     就是打车不方便，很安全', '短评打分': 5}
{'短评内容': '不错的酒店，卫生服务都不错，就是早晚餐难吃', '短评打分': 5}
