{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '这家酒店是我住过最差的一个，我是9月22号提前预订10月6日晚上住，房费288元，比当天在酒店的还要贵。房间风格是怀旧的，没有窗，里面空气很闷，根本没法住，家人宁愿在西街路边做着，也不愿回房间，问老板能不能换一间有窗的给老人住，老板说已经没有房了，但明明在门口处挂有房的标注。其次房间比较窄，隔两层，第一层是卫生间，卫生间的毛巾很旧，洗涑呗放在一个脏兮兮的平台上，都不敢用酒店的任何一个东西，第二层是', '短评打分': 2}
{'短评内容': '拖鞋臭，空调异响，床单不干，房间没门，多蚊，只有一块布，没安全感，石子地厕所，不想站多一会儿，硬件十分简陋，还有这个客栈没自己的停车场，要停去其他有停车场的酒店，费用80元，自己看着办吧。', '短评打分': 1}
{'短评内容': '干净清爽舒适透气方便', '短评打分': 5}
{'短评内容': '性价比高，虽然在西街里面，但闹中取静，需要提醒的是到西街口后最好先联系老板，否则不一定找得到。', '短评打分': 5}
{'短评内容': '酒店闹中取静，周围很多饭店和酒吧，离西街也很近，推荐', '短评打分': 5}
{'短评内容': '凑合吧，近西街酒吧太吵了，被子有潮霉味儿', '短评打分': 5}
{'短评内容': '老板很热情 酒店地理位置优越 就在西街街上一个巷子进去 晚上挺安静 完美', '短评打分': 4}
{'短评内容': '地理位置绝佳不会太冷清也不会太吵，设施有待改善，房间卫生间没有门，好不习惯。设备比较简陋。', '短评打分': 3}
{'短评内容': '环境很好 老板娘人好好 小老板好可爱', '短评打分': 5}
{'短评内容': '环境很好 老板娘人也很好 他们家儿子好可爱', '短评打分': 5}
{'短评内容': '老板态度很好，挺安静。', '短评打分': 5}
{'短评内容': '就在西街一个小巷，位置好找。房间有阳台，唯一不好的是卫生间需改善，不通风、气味难接受。', '短评打分': 4}
{'短评内容': '老板人好，卫生还不错', '短评打分': 4}
