{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '早餐没有的，不过价格便宜', '短评打分': 5}
{'短评内容': '老酒店，商务便利。', '短评打分': 4}
{'短评内容': '酒店位置不错，在财政部附近，五分钟到公交车站，十分钟到地铁1号线。早餐15元自助，营养均衡。房间类型多，现在已经给暖气了。', '短评打分': 4}
{'短评内容': '地理位置好，离公交站地铁站都近。前台小姐姐很好，帮了很大的忙。下回还住那儿。旁边有家餐厅，红番茄，环境好菜也好吃，中篇高档的。', '短评打分': 5}
{'短评内容': '离儿童医院很近，看病方便，早餐也不错！', '短评打分': 5}
{'短评内容': '太一般了，电视剧太差，遥控器还不灵光，厕所马桶还漏水，蚊子太多', '短评打分': 5}
{'短评内容': '订完了之后，也不通知成功没有，我自己给酒店打电话才知道没订上，害得我又紧急找其它酒店。', '短评打分': 1}
{'短评内容': '酒店真的挺不错的，非常好，前台很热情，办理入住时，服务非常好，隔音也不错。客房很干净整洁，卫生好。很棒很好！ 住得很满意的一次，值得下次再入住的酒店', '短评打分': 5}
{'短评内容': '位置方便', '短评打分': 5}
{'短评内容': '很好的酒店，去办事方便', '短评打分': 5}
{'短评内容': '选错地方了，居然是地下室', '短评打分': 4}
{'短评内容': '办事方便，小炒不错，早餐一般', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好样的 ??', '短评打分': 5}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '历历可见咯舅妈家', '短评打分': 5}
{'短评内容': '位置好，便宜，房间有点小，旧，短期住还可以', '短评打分': 4}
{'短评内容': '房间干净', '短评打分': 3}
{'短评内容': '环境挺不错，只是位置不太好找，没有在街面上', '短评打分': 5}
{'短评内容': ' 还可以，有点儿贵。', '短评打分': 3}
{'短评内容': '去那边开会,网速慢的要命,差点耽误事!不过楼层服务员服务态度还可以', '短评打分': 1}
{'短评内容': '房间比较大(A型标准间)，但洗漱用具等设施一般，总的说来比较干净，也很清静。\n', '短评打分': 5}
{'短评内容': '环境很幽静，服务态度好，房间干净，值得推荐', '短评打分': 5}
{'短评内容': '去国家发改委办事住的，是附近性价比较高的酒店。空间比较大，位置也不像一些人说的那样难找。格局很别致，带餐厅可以点菜，不过个人感觉味道一般啦。有一点，可能是本人有洁癖吧，感觉被单稍许有点泛黄，不是纯白纯白的那种感觉，这和国内一流的快捷酒店还是有点距离的，总体上不错，推荐一下吧。', '短评打分': 5}
{'短评内容': '酒店很多,很舒适', '短评打分': 3}
{'短评内容': '该酒店不错！环境很好！就是距离地铁站太远了点，走路过来不好找。北京的交通也是在太堵了，上下班的士也不好打。', '短评打分': 5}
{'短评内容': '房间整洁，早餐很简单，服务态度还行。但比较不好的是网速超慢，能用信用卡但不能刷预授权，只能押现金。', '短评打分': 1}
{'短评内容': '房间非常大，很干净，前台服务很好，特耐心的说明届时，而且面带笑容。房间卫生间是玻璃的，来客人就不是很方便，会看到的。大人洗漱用没问题，孩子够不着，水龙头旁也没站的地，非常不方便。洗澡的龙头拿不下来，孩子也用不成，大人用也溅得到处都是，到水量大，很热，还是不错的。早餐不太多，可以到巷子口的小店吃，价格实惠也好吃。总体说，酒店很好，就是能再考虑孩子的方便就好了。下次还会来，很方便的，位置很好，游玩坐车', '短评打分': 5}
{'短评内容': '我们住的是标间，空间较大，24小时热水，水很大，周围环境较安静，服务人员比较热情，比如家的态度好，之前还想住如家呢，现在不想了，下次还来这', '短评打分': 5}
{'短评内容': '周围商场超市饭馆都有，还比较方便，就是位置要看好地图，在小巷里容易错过。房间一般，有味道，卫生间的门居然关不上，牙刷廉价到软，除了看上它大点。', '短评打分': 5}
{'短评内容': '还算不错。。。整体都还可以，设施有点旧。。。', '短评打分': 5}
{'短评内容': '周边环境不错，房间也干净，家庭房尤其适合带孩子住。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间有点小，但是内容装修还不错，出门交通也比较便利，值得推荐。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '挺干净的，性价比很高，住的是半地下的标准间，房间有点小.', '短评打分': 5}
{'短评内容': '离国家发改委、国家财政部等部门比较近，办事比较方便。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '地理位置不错，环境不错。总体挺好，就是床能再软一点就会舒服了。推荐', '短评打分': 5}
{'短评内容': '位置很好。弟弟一家人去的。价格合理。。。', '短评打分': 5}
{'短评内容': '：入住后感觉比想象的要好，房间宽敞、明亮，显得很洁净！', '短评打分': 3}
{'短评内容': '八点八服务周到，条件很好！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '我住的是B标房，除了暖气有点冷外，其他都很好，房间大，设施虽然简单，但干净，卫生个人很喜欢，下次还会选它！', '短评打分': 5}
