{'短评内容': '挺好的，经常住，值得推荐。', '短评打分': 5}
{'短评内容': '服务非常不错～', '短评打分': 5}
{'短评内容': '去山师大方便，送的早餐品种也还行。', '短评打分': 4}
{'短评内容': '服务周到。工号010王传红大姐服务很周到。很干净，服务很周到。', '短评打分': 5}
{'短评内容': '我因公出差，入住翰林泉盈酒店，009客房部梁岳服务热情周到，给送的果盘，让我很暖心，酒店干净卫生，设施齐全，服务很好，下次还会选择翰林。', '短评打分': 5}
{'短评内容': '设施陈旧，应该换了。不过前天苹果不错', '短评打分': 5}
{'短评内容': '噩梦般的住宿，半夜三点多，走廊很乱，和有旅行团入住似的，服务也不好，想要个体温计量一量，直接说坏了，房间没有一次性拖鞋，没到退房的点，一个服务员没说话直接刷卡闯进来，说走错房间了，即使没走错，也应该敲门入住吧，还有硬件设施也值得吐槽，看之前点评就知道了，快捷酒店的床垫都比这个酒店舒服，塌陷的床垫，好的我一晚上没睡好，第二天要崩溃，还耽误事情。前台服务也很差，效率很低。最真实的入住感受，358多的房', '短评打分': 2}
{'短评内容': '不是第一次来住了，在经十路上，还挺方便，出门就是公交车。', '短评打分': 5}
{'短评内容': '离千佛山医院非常近', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店有些老，房间条件还可以，卫生间洗浴空间有点小，早餐挺好。', '短评打分': 4}
{'短评内容': '酒店有些老，房间条件还可以，卫生间洗浴空间有点小，早餐挺好。', '短评打分': 4}
{'短评内容': '中规中矩的酒店，服务不错！', '短评打分': 4}
{'短评内容': '房间还行，比较有档次，自助餐也不错。', '短评打分': 5}
{'短评内容': '豪华大床房太不值啦……跟普通大床房一样的水平……', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 4}
{'短评内容': '周边交通方便 经常入住 服务周到 早餐一般！', '短评打分': 4}
{'短评内容': '条件一般服务.好', '短评打分': 3}
{'短评内容': '398的豪华标间 实际上是个单人间,只不过把单人床拉开了而且房间很小,早餐也很垃圾', '短评打分': 1}
{'短评内容': '服务很好  但条件一般  价格稍贵  房间隔音效果不太好', '短评打分': 3}
{'短评内容': '太旧太闹设备陈旧床不舒服服务还行没赠矿泉水', '短评打分': 1}
{'短评内容': '替人代定的，离办事地点近，总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置很好，而且房间不错，早餐也不错，而且酒店就在山师大，早晚还可以去学校锻炼身体，下次还去那里．', '短评打分': 5}
{'短评内容': '房间还可以，地段也好，就是出门打车不是太方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
