{'短评内容': '环境很差 卫生很差\n有异味 设施很差 没有热水', '短评打分': 1}
{'短评内容': ':顺利入房了. 服务态度挺好的. 房间也挺干净!谢谢', '短评打分': 3}
{'短评内容': '这个价钱住这样的房间有点郁闷！这酒店唯一好处就是地点！对面就是和平广场！2站地就是星海广场！如果不在乎酒店环境！在行地点的话还是值得入住的！', '短评打分': 1}
{'短评内容': '设施非常陈旧，卫生状况不敢恭维，前台服务的态度实在无语，跟想象得差太多，应该就只能靠网上才能销售得出去吧！幸好我只订了一晚哦！', '短评打分': 1}
{'短评内容': '在万旅入住的是套房，房间内设施太陈旧了，床单看着也不干净。好在旅店地里位置不错，房间也够大。', '短评打分': 3}
{'短评内容': '店内所有物品都很旧，墙黑，不值那个价钱。', '短评打分': 1}
{'短评内容': '环境太差了，就一小破旅馆。环境太差了，就一小破旅馆。环境太差了，就一小破旅馆。', '短评打分': 1}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '环境很一般……', '短评打分': 3}
{'短评内容': '酒店地理位置不错。只是里面的设施包括床上用品太老旧了，如果仅仅关注价格与住宿的舒适度，性价比还是可以的。另外，电话是个摆设。', '短评打分': 5}
{'短评内容': '不能刷卡，现在阿还有不能刷卡的地儿？崩溃！', '短评打分': 1}
{'短评内容': '绝对不推荐这家旅馆，我和未来岳父岳母媳妇回家结婚入住的，定了一个套房，结果只能住3个人，哪有这样的道理，即使有，怎么不在网上说明，由于是半夜，多交了80入住，房间小不说，卫生间一股异味，第二天灯还坏了，又没热水，床单是洗过的，不过破了，毯子是好久没洗得，一股怪味。弄的我很没面子，都想投诉这家旅馆，可惜不知道怎么投诉！就是交了钱，又是半夜，要不死活不住这家旅馆。', '短评打分': 1}
{'短评内容': '酒店不错 除了设施略显陈旧外 都挺好的 地点挺方便 身处和平广场地段 都挺方便的 酒店邻近办公楼 这点也算是不足吧 其他服务都挺好的', '短评打分': 5}
{'短评内容': '酒店设施太一般，浴巾，毛巾都是旧的不说还破烂了，', '短评打分': 3}
{'短评内容': '还可以，位置不错', '短评打分': 3}
{'短评内容': '环境一般，位置不错', '短评打分': 3}
{'短评内容': '查查差差差差差差差差差差差差差差差差差差差差差差', '短评打分': 1}
{'短评内容': '客房的配置齐备，就是有些略显陈旧，应该及时更新一些了.', '短评打分': 5}
{'短评内容': '服务很好，服务员很热情，对我们也特别亲切，办事效率挺快的.', '短评打分': 5}
{'短评内容': '客房干净整洁，而且隔音做得不错，晚上休息比较踏实一些.', '短评打分': 5}
{'短评内容': '房间还好，挺干净的，电视空调基本设施都有，就是卫生间需要改进一下。', '短评打分': 3}
{'短评内容': '酒店还不错，服务挺好，硬件设施挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '交通不是很便利，服务卫生方面还好，设施基本齐全，住的还比较舒适。', '短评打分': 3}
{'短评内容': '房间里挺干净的，晚上也挺安静，听不到什么吵闹声，在这睡眠质量挺好。', '短评打分': 5}
{'短评内容': '服务态度挺好，能提供早餐，卫生做得也挺好，总体感觉不错。', '短评打分': 5}
