{'短评内容': '酒店比较旧', '短评打分': 3}
{'短评内容': '总体可以，热水不够烫，枕头太高了', '短评打分': 4}
{'短评内容': '下次不会再定。服务态度不怎么样', '短评打分': 3}
{'短评内容': '设施一般，服务很好', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间打，价格贵，早餐还要走到隔壁酒店吃，就是一个累，就知道在会展时期涨价，500多元一天啊，非常不值得', '短评打分': 1}
{'短评内容': '房间内的汤很好，小区內的环境也不错，房间一般，但附赠了一大桶水，其他服务无特别。', '短评打分': 4}
{'短评内容': '酒店太差了，吃饭都成问题，晚上饭都没有地吃', '短评打分': 1}
{'短评内容': '#ud83d#udc0e#ud83d#udc0e#ud83d#udc2f#ud83d#udc2f吧', '短评打分': 4}
{'短评内容': '酒店设施还可以，泡一泡澡，和孩子玩一玩水。周围是封闭别墅区，非常安静，景色优雅，绿化充分，一家三口散步，感觉很不错。', '短评打分': 4}
{'短评内容': '房间面积挺大，泡池也不小，两三个人泡泡澡，还是很舒服的。就是需要1个小时以上才能把水放满。另外，餐厅离得有点距离，需步行几分钟。', '短评打分': 4}
{'短评内容': '酒店VIP会所在酒店隔壁的别墅区，房间很大有室内温泉，但是酒店太偏了如果不是自驾游出行不方便，吃饭只有酒店里面一家餐馆。感觉很一般', '短评打分': 3}
{'短评内容': '酒店位置比较偏，房间很大，环境非常好，自助早餐去的晚了吃的比较少，周边就是别墅区，超级开心的温泉之旅，泡温泉后一身倦意全消！！！！很不错哦', '短评打分': 5}
{'短评内容': '酒店位置比较偏，房间很大，环境非常好，自助早餐去的晚了吃的比较少，周边就是别墅区，超级开心的温泉之旅，泡温泉后一身倦意全消！！！！很不错', '短评打分': 5}
