{'短评内容': '可以可以可以', '短评打分': 4}
{'短评内容': '卫生差，没有车位', '短评打分': 2}
{'短评内容': 'going追听你民一庭弟弟机灵明明寂寞自助婆婆给你倪敏你信热忒你问我OMG二二T1你大题哦破儿子去搜狗你在', '短评打分': 5}
{'短评内容': '就价格来说便宜，但是卫生真的差，除了换床单，被套等，其他地方灰很多。', '短评打分': 3}
{'短评内容': '就价格来说便宜，但是卫生真的差，除了换床单，被套等，其他地方灰很多。', '短评打分': 3}
{'短评内容': '房间挺好', '短评打分': 5}
{'短评内容': '蚊子多！', '短评打分': 4}
{'短评内容': '跑马拉松过去住了一晚 客观的评价 一般 周边吃的餐饮店挺多 不满意之处在于携程上预定了房间 幸亏提前两天确定了一下 要不然差一点就没房间 ', '短评打分': 3}
{'短评内容': '的？？？？？？，', '短评打分': 4}
{'短评内容': '心好累。忘记要发票了。房间床是塌的。一个人睡陷进去了根本睡不好。又是电梯口边上。崩溃了。再也不来了。好恐怖。哎', '短评打分': 4}
{'短评内容': '房间干净简洁，价廉物美', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '床太软', '短评打分': 4}
{'短评内容': '酒店装修不错，交通也很方便', '短评打分': 5}
{'短评内容': '感觉还是不错的，', '短评打分': 5}
{'短评内容': '房间很满意，很新，床很舒服，唯一的不足就是床头柜只有一个，卫生间里放洗漱用品的地方缺乏。', '短评打分': 3}
{'短评内容': '非常不错的酒店，装修很好，床很舒服，只是7楼的房间都不太好', '短评打分': 5}
{'短评内容': '客服电话 是假的  这让我有点郁闷房间还可以', '短评打分': 5}
{'短评内容': '住的是棋牌房，不过挺好的，环境卫生都很好，服务也很好。', '短评打分': 5}
{'短评内容': '干净卫生，态度很好', '短评打分': 3}
{'短评内容': '服务态度差，诚信问题欠佳', '短评打分': 3}
{'短评内容': '房间不错，很干净。就是没有帮我预订好房间，希望以后注意。', '短评打分': 3}
{'短评内容': '环境不错…适合去台州中心医院', '短评打分': 3}
{'短评内容': '酒店环境可以，很清爽，这个价格应该算是很经济实惠了，唯一遗憾的就是安排了不是卡通壁纸的房间，下次如果入住一定要事先打招呼，呵呵！！！', '短评打分': 5}
{'短评内容': '装修看着很舒服，房间内电脑电视齐全，网速也不错。走廊和楼梯的墙绘很别致，感觉附近几家就这家最好', '短评打分': 5}
{'短评内容': '总体来说还可以的，就是房间不怎么大。。。。', '短评打分': 5}
{'短评内容': '不错，挺干净，挺舒服的！', '短评打分': 3}
{'短评内容': '服务、卫生、设施都挺满意的，就是没有早餐，发票要提前说，可以开收据盖章就是了，网速也不快。地毯有点脏，应该多换洗一下。', '短评打分': 5}
{'短评内容': '还行吧。。不过发票要提前说。。不然要平邮寄。。', '短评打分': 5}
