{'短评内容': '还可以…………', '短评打分': 5}
{'短评内容': '早餐不错，有停车场，位置不错，吃饭很方便。距离机场、火车站都不远，交通很方案，前台接待也不错，给五星。', '短评打分': 5}
{'短评内容': '房子一般般，性价比较低，房子里还有发霉的味道', '短评打分': 4}
{'短评内容': '位置交通购物吃饭都方便，卫生也行。房间比较小，也是如家的特点吧。', '短评打分': 5}
{'短评内容': '连锁快捷酒店，没什么特殊的，之所以定在这里主要是离机场稍微近一点，周边环境也还可以，对面的牛肉拉面超赞...', '短评打分': 4}
{'短评内容': '房间太小价格贵', '短评打分': 2}
{'短评内容': '位置可以 服务可以 房间有点小。', '短评打分': 3}
{'短评内容': '房间虽小，但干净，服务态度好，关键离办事地方很近。不错。', '短评打分': 5}
{'短评内容': '出差入住', '短评打分': 5}
{'短评内容': '地方很好找！环境干净卫生…服务态度好…选如家就是图一个安全干净舒适！住的舒心！房间的设施齐全！被褥干净整洁！隔音也很不错！情侣去住还是挺适合的！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '基本上还是可以的，房间很暖和，晚上一点都不冷呢！', '短评打分': 5}
{'短评内容': '挺好的，就是房间小点，还有用金卡会员都不如网上定便宜，这会员当的', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '如家一直是我出差的首选酒店，服务态度好，干净整洁，舒适。', '短评打分': 3}
{'短评内容': '挺干净就是房间有点小', '短评打分': 3}
{'短评内容': '服务态度很好，环境也不错！', '短评打分': 3}
{'短评内容': '酒店干净，位置不错，交通方便，地处火车站和飞机场之间，价格公道……', '短评打分': 3}
{'短评内容': '隔音不好，前台速度太慢，餐厅倒是还不错，不过真的受不了前台的服务态度，生硬，浮躁', '短评打分': 1}
{'短评内容': '入住的时候服务态度不是很好,离店的店员态度还不错.房间还可以,性价比不高.但设施不错,住的也很舒服.离繁华地段很近,购物吃饭方便.', '短评打分': 1}
{'短评内容': '我见过的最差如家：\n1、房间小\n2、气味大\n3、隔音差\n4、电视老\n睡到半夜，楼上一跺脚，顶灯罩子居然掉下来了\n12元的早餐还马马虎虎', '短评打分': 1}
{'短评内容': '环境好，地方小', '短评打分': 3}
