{'短评内容': '没有热水 卫生间不怎么干净 不过这个价还过得去吧', '短评打分': 3}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '房间', '短评打分': 5}
{'短评内容': '超级差，以后打死我也不去住', '短评打分': 1}
{'短评内容': '单就房间来说还不错，虽然小，但是挺干净的，地段也好，就是跟KTV是同一层，有点吵，服务员也挺不容易的，介意的朋友不推荐', '短评打分': 4}
{'短评内容': '卫生环境还好。就是边上就是KTV，有点嘈杂', '短评打分': 5}
{'短评内容': '一到晚上，周围太吵，旁边有东西一直在响。郁闷死了。', '短评打分': 2}
{'短评内容': '太吵了，边上就是KTV', '短评打分': 4}
{'短评内容': '周边环境，走廊不整洁！室内装修尚可', '短评打分': 3}
{'短评内容': '脏乱差，不推荐', '短评打分': 1}
{'短评内容': '应该是一家经营多年的酒店，除了床还蛮舒服，其它的都很差，前台接待毫无服务意识，酒店地毯太脏，窗户没有防护措施', '短评打分': 2}
{'短评内容': '环境太吵，房间很脏的，墙纸都坏掉了也不舍得换', '短评打分': 3}
{'短评内容': '房间很干净，睡的很舒服', '短评打分': 3}
{'短评内容': '还不错。空调功力好大哈哈哈哈', '短评打分': 3}
