{'短评内容': '客人服務自己，豪無服務可言', '短评打分': 3}
{'短评内容': '总体来说不错，性价比可以', '短评打分': 5}
{'短评内容': '258的房间连个电脑都没有，房间没窗户。有点闷', '短评打分': 3}
{'短评内容': '停车很方便，餐厅的中餐也不错', '短评打分': 5}
{'短评内容': '帮同事订的，同事感觉很不错，房间干净安静', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '房间不错，住得挺舒服的，有早餐提供', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 4}
{'短评内容': '靠近客户公司步行几分钟就到，房间空间很大，很干净舒适。一楼设有餐厅，菜的口味价格都不错。主要是热水够热水压也大，上次住的那一家连个头发都洗不干净。推荐', '短评打分': 5}
{'短评内容': '很好，下次还会来的，不错很好，下次还会来的，不错很好，下次还会来的，不错很好，下次还会来的，不错很好，下次还会来的，不错很好，下次还会来的，不错', '短评打分': 5}
{'短评内容': '附近修路，有些吵', '短评打分': 3}
{'短评内容': '出差就近原则', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '从大堂到房间，酒店任何一个地方都干净舒适，好评！', '短评打分': 5}
{'短评内容': '跟客户一起入住，结果客户的房间里竟然发现一只超大的蟑螂！！  赶紧请求前台帮忙换了房间才算。  早餐有点儿太简陋了。', '短评打分': 3}
{'短评内容': '初次入住，主要是离出差要去的地方比较近。  酒店设施一般，相对外面看到的那么气派，客房里面让人有点儿失望。  一楼的KTV很吵！', '短评打分': 3}
{'短评内容': '第二次入住，一楼的KTV比较吵，隔音效果不是很好  房间的卫生还不错，WIFI的信号时有时无，早餐超级简单。', '短评打分': 4}
