{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的,下次我还会选择这家酒店,很有度假的感觉。 ', '短评打分': 5}
{'短评内容': '总的感觉还不错，比较卫生，空间也比较大！价钱实惠！就是无线网连上不能用，但总台小帅哥服务特别好，为了给我们弄无线网跑出跑进的！虽然最后还是用不了，但是这种精神还是值得赞的！', '短评打分': 5}
{'短评内容': '还好吧，价格实惠', '短评打分': 5}
{'短评内容': '卫生差，周围吵！', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般般吧，价格和位置都还可以。为了能超过35个字，我实在说不出来了。还差十六个字就够35个字了。怎么还差两个字？', '短评打分': 4}
{'短评内容': '经济实恵', '短评打分': 4}
{'短评内容': '整体一般', '短评打分': 3}
{'短评内容': '整体还行，就是稍微不是特别干净', '短评打分': 4}
{'短评内容': '还行，第二次订房了！', '短评打分': 3}
{'短评内容': '设施很糟糕，地板都烂了。', '短评打分': 2}
{'短评内容': '挺好的，房间和环境都不错', '短评打分': 5}
{'短评内容': '…………………………不怎么样', '短评打分': 2}
{'短评内容': '这个价钱内～一般般…………………', '短评打分': 3}
