{'短评内容': '很方便，周边有很多吃的饭的地方，在路口', '短评打分': 5}
{'短评内容': '作为在安港入住十几年的老顾客说实话一直是看上停车场保安大哥及以前安港前台的服务与周到倍感温暖，现在的客服让我看到的生硬与不耐烦...无奈我这人恋旧还是继续入住咯……', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不怎么样。一般般。', '短评打分': 1}
{'短评内容': '早餐有改进，不错！能加床。停车位置还不错。特别保安很负责。交通方便！适合带孩子入住。距离包河公园仅二百米，饭后散步和锻炼身体特别方便，到商之都，和淮河路步行街购物特别方便！值得推荐！', '短评打分': 5}
{'短评内容': '合肥安港大酒店位于合肥市老城乡繁华地段芜湖路上，跟邻合肥美食一条街宁国路。购物方便，交通便利！房间虽然小些但布局合理。床上用品干净卫生。性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置还好，离万达不远不近吧，楼下小吃不错', '短评打分': 4}
{'短评内容': '地理位置方便', '短评打分': 5}
{'短评内容': '环境好，舒适', '短评打分': 5}
{'短评内容': '还可以，性价比挺好', '短评打分': 4}
{'短评内容': '还好，一般，挺干净的，就是空调温度不能调节，太热了', '短评打分': 4}
{'短评内容': '安静整洁，交通方便，价格还不错', '短评打分': 5}
{'短评内容': '还可以，位置不错。总体可以。', '短评打分': 3}
{'短评内容': '环境卫生，服务周到，值得推荐！', '短评打分': 3}
{'短评内容': '安静，高大上，舒适', '短评打分': 5}
{'短评内容': '住了第一天后 还是决定再多住一天 还不错的酒店', '短评打分': 5}
{'短评内容': '性价比很好.比附近的齐云山庄便宜.位置很好.早餐马虎.', '短评打分': 5}
{'短评内容': '性价比还可以.位置很好.方便办事.不错.不错.', '短评打分': 5}
