{'短评内容': '干净 便捷 性价比高', '短评打分': 5}
{'短评内容': '环境不错，服务态度好！', '短评打分': 5}
{'短评内容': '酒店位置好，房间卫生干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '行程变了，所以退房了！', '短评打分': 5}
{'短评内容': '非常好，就是酒店隔音有点差', '短评打分': 5}
{'短评内容': '房间干净卫生，服务周到', '短评打分': 5}
{'短评内容': '网络不好 速度也不够快', '短评打分': 5}
{'短评内容': '太一般了，隔音效果非常差', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '电梯坏了，没电梯多不方便啊！', '短评打分': 3}
{'短评内容': '与图片相差的太多了。太黑了，订了三天，只住了两天，结果还不给退钱。', '短评打分': 1}
{'短评内容': '一般，房间有股淡淡的味道，不好闻。被子也可能是我皮肤太娇嫩，睡下去没多久感觉有点痒。', '短评打分': 4}
{'短评内容': '以前来住过第二次来了，房间干净，较大，主要是交通方便，周边吃东西方便', '短评打分': 5}
{'短评内容': '还不错，只是房间小点，位置也还好', '短评打分': 3}
{'短评内容': 'Great location!', '短评打分': 4}
{'短评内容': '节假日房价400+，真不知道一个快捷酒店还有如此价格！不匹配的是酒店设备差，墙壁和天花板很多蚊子的死尸，睡前打蚊子是重点工作，房间隔音极差！！冷热水还行，豪华大床居然硬帮帮！！！满分五分的话，给1.5分！！', '短评打分': 3}
{'短评内容': '位置不错，干净，不足之处携程上订的不能提供早餐', '短评打分': 5}
{'短评内容': '位置不错，房间也很干净，只是在携程上订的都不能享受早餐！', '短评打分': 5}
