{'短评内容': '可以，物美价廉，还行吧服务也可以，好评', '短评打分': 5}
{'短评内容': '还好吧，比5月份贵了百分之50，不过还能接受', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '嗯嗯嗯 位置还可以 性价比低我会乱说 清明节出游涨价超快', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '卫生条件', '短评打分': 3}
{'短评内容': '厕所有味，设施陈旧，卫生略差，价格便宜。', '短评打分': 3}
{'短评内容': '很好 房间很大 就是没热水 还好不是夏天', '短评打分': 5}
{'短评内容': '很棒 很棒 很棒地段很好价格实惠空调独卫都有', '短评打分': 5}
{'短评内容': '带老人孩子出去玩，赶上青州各大酒店爆满，好不容易订到房间，如果还有其他选择我一定不住在这里，太脏了，床单枕套被罩一看就很久没换过了，都是黑的，还带着头发，太恶心了。房间隔音太差，隔壁说话听得一清二楚。', '短评打分': 2}
{'短评内容': '其他酒店实在定不上才来的这里。服务员阿姨倒是很好，可是设备实在太老旧了，电插板太少，被褥都破了', '短评打分': 4}
{'短评内容': '不错，如果有空调就更好了', '短评打分': 3}
{'短评内容': '门店虽不大但性价比高，房间简洁干净，赞一个', '短评打分': 3}
{'短评内容': '网络好，淋浴好，服务好，位置好，市中心，邻古城', '短评打分': 3}
