{'短评内容': '非常好的一次入住体验', '短评打分': 5}
{'短评内容': '房间整洁交通方便', '短评打分': 5}
{'短评内容': '真的挺一般的，不怎么好', '短评打分': 3}
{'短评内容': '比较干净整洁。', '短评打分': 5}
{'短评内容': '有早餐，办事方便。出差图方便。已经第四次入住了。由于建成时间比较长，里面的设施配套没法和现在新建酒店相比。', '短评打分': 4}
{'短评内容': '交通便利，房间偏小。', '短评打分': 5}
{'短评内容': '交通方便，房间太小。', '短评打分': 4}
{'短评内容': '服务态度好。交通便利。', '短评打分': 5}
{'短评内容': '交通方便，服务周到', '短评打分': 5}
{'短评内容': '好，交通便利，干净卫生。', '短评打分': 5}
{'短评内容': '房间不错，早餐还行', '短评打分': 5}
{'短评内容': '房间太小，其它都还好。', '短评打分': 4}
{'短评内容': '立法院很近', '短评打分': 5}
{'短评内容': '酒店前台效率低下，餐饮部更差', '短评打分': 3}
{'短评内容': '酒店管理和服务都很好~  住的很满意。毛巾什么的齐全而且很干净。很不错。', '短评打分': 5}
{'短评内容': '下单时和客服沟通过对具体楼层的要求，很快就得到了酒店的确认，而且到店后确实是按要求进行了安排，赞一个！', '短评打分': 5}
{'短评内容': '性价比高。', '短评打分': 3}
{'短评内容': '出行比较方便，离步行街什么的也不远 干净，就是洗漱用品得另买', '短评打分': 5}
{'短评内容': '帮哈尔滨机场同事预定  酒店非常好……', '短评打分': 5}
{'短评内容': '酒店价格优惠，交通便利，离客户很近，办事方便，下次在过来', '短评打分': 4}
{'短评内容': '不错，老酒店 但是里面感觉挺不错的。', '短评打分': 5}
{'短评内容': '本来挺好的，但是酒店有点不道德，明明住了两晚，可以返现四十，但是酒店方只确认一晚，不知道是不是携程的返现会影响到酒店方的既得利益，虽然返的钱不多，但是关乎酒店方的信誉，见微知著，酒店诚信有待提高。', '短评打分': 1}
