{'短评内容': '房间设施设备还挺满意的，卫生情况也好，前台服务也满意，就是酒店周围比较吵闹了。', '短评打分': 5}
{'短评内容': '停电了两次，差点被困在电梯里。厕所堵了，也没人修...。总之体验极差附近是闹市路边很吵，如果住路边要有心理准备', '短评打分': 1}
{'短评内容': '电视放不出来，洗澡的花洒接头漏水，就想花洒一样漏的到处都是。', '短评打分': 4}
{'短评内容': '服务态度很好，很热情。', '短评打分': 4}
{'短评内容': '非常不错的酒店，服务也很好，早餐也很好', '短评打分': 5}
{'短评内容': '周边环境太差，停车场太狭窄，其它还将就', '短评打分': 3}
{'短评内容': '周边环境太差，停车场太狭窄，其它都还将就', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '经济一般般', '短评打分': 3}
{'短评内容': '环境比以前好多了，挺漂亮的', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 4}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '整体不错！', '短评打分': 5}
{'短评内容': '很不错，出行方便，交通也方便。很值得推荐。', '短评打分': 4}
{'短评内容': '还送泡盐，不错的。', '短评打分': 4}
{'短评内容': '牙刷掉地上要客服送一把上来居然说要收钱！有这样的酒店吗？其他的都还行，这个我不满意！花198住的酒店连一把牙刷都要收钱！！？', '短评打分': 5}
{'短评内容': '水床不错', '短评打分': 3}
