{'短评内容': '环境不错，服务热情，就是一个人住一整个酒店有点怕怕，哈哈', '短评打分': 5}
{'短评内容': '酒店住的人少，性价比不高。', '短评打分': 3}
{'短评内容': '酒店挺安静，环境设施都不错！', '短评打分': 5}
{'短评内容': '环境很好，山庄内有小山可以爬。房间装修很好，床略小。饭菜尚可，缺乏特色，早餐简单够饱。离各大景点及城区近，20分钟内。', '短评打分': 5}
{'短评内容': '酒店导航有点难找，门口有停车场，晚上去不太好找。酒店在山里，周围都是竹林，环境很幽静，建筑古色古香，白墙黑瓦，房间也很大。', '短评打分': 5}
{'短评内容': '酒店里面环境很不错，房间也挺大挺干净，周围环境满荒凉的，因为是晚上到的，周围黑麻麻一片', '短评打分': 4}
{'短评内容': '酒店位置离安吉县城有点距离，导航基本没问题，环境很好，夜里能听到小时候久违的虫鸣。老板很热情，会给你一些好的建议，离水上乐园比较近，吃饭可以去附近农家乐，也可以在酒店用餐。 值得再去', '短评打分': 5}
{'短评内容': '环境不错，就是早餐一般', '短评打分': 4}
{'短评内容': '地方较偏，环境很好', '短评打分': 5}
{'短评内容': '酒店很清静，老板很热情，非常好！', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 4}
{'短评内容': '除了男经理态度差了点，晚饭贵了点，住宿发票还不能全开之外，其他还可以！', '短评打分': 4}
{'短评内容': '地理位置不错，离市中心也不远，是个闹中取静的好地方。老板人不错，帮忙挪了车位，还碰巧送了一盒猕猴桃给我们，很温馨。', '短评打分': 4}
{'短评内容': '我们大老远开了7个小时的车过来的，找这个酒店就找了好长时间，差点迷了路，688的房费五星级的价格太坑人了，洗澡水非常不好，放好长时间都不热，把我小孩洗了感冒了，更奇葩的是夜里刚关了灯，被子上有个大马蜂，我还不知道，我手就放被子上，突然象针扎得那么疼痛，我才知道原来是被大马蜂蜇了，喊服务员过来看，服务员说这个正常，她也被咬过，如果小孩被蜇伤了怎么办，痛了我一夜没睡，一早起来退房，问酒店老板有没什么说', '短评打分': 2}
{'短评内容': '不枉我找了好久挑的酒店，空气清新，环境优美，房间很不错，全是木制气息～～～', '短评打分': 5}
