{'短评内容': '还可以吧，价钱在哪里了，比车站旁边性价比高', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 2}
{'短评内容': '住着一般吧，周围吃的还可以，旅游信息也不错，下次还可以来这里住住，看看心情吧，其实这周围也就这样了吧', '短评打分': 4}
{'短评内容': '不错很好很不错、值得一住欢迎来住', '短评打分': 5}
{'短评内容': '不错我认为很好', '短评打分': 5}
{'短评内容': '周边好乱', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '服务很好，房间干净', '短评打分': 5}
{'短评内容': '给我们安排个特别小的地方，也不能因为是艺龙上订的就这么特殊对待啊，那个屋别提有多窄了，而且位置在特别偏僻，再也不去，慎订！！！！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境还可以，位置也不错，价格适中，街口有好多小吃。', '短评打分': 5}
{'短评内容': '我昨天已经入住', '短评打分': 3}
{'短评内容': '优点：1服务很热情。2环境卫生比较好。3房间比较整洁。\n缺点：1地理位置没有优势，基本出去玩儿都得坐公交。2房间隔音不好，第二天玩儿完很累回去得时候隔壁一个男的说话仔细听都能听清说什么了。3房间晚上有点儿冷，可能是窗子太大了。\n综合：酒店还是不错的，设施很完备。', '短评打分': 5}
