{'短评内容': '设备有点陈旧了，热水不热，空调不热等', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还凑合吧，就是设施太老了', '短评打分': 5}
{'短评内容': '交通便利，房子装修过时', '短评打分': 3}
{'短评内容': '老酒店了，环境还不错，整体来说不错', '短评打分': 5}
{'短评内容': '酒吧在楼层一，早餐是西式早餐，味道还是不错的，大厅非常大，车只能停地上，没有地下停车，总是个非常一般般。', '短评打分': 5}
{'短评内容': '服务太差，嗯，前台不知道先来后到', '短评打分': 2}
{'短评内容': 'ヾ(@^▽^@)ノ  (＾▽＾)', '短评打分': 5}
{'短评内容': '最近没WiFi，有线也不能用&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境不错，自助餐也很划算', '短评打分': 5}
{'短评内容': '已多次入住骊苑酒店，房间舒适，服务热情，感觉温暖舒心。', '短评打分': 5}
{'短评内容': '酒店服务不错，大厅气派，优势是交通方便。', '短评打分': 5}
{'短评内容': '前台服务好，环境好！还会入住！', '短评打分': 5}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '干净整洁，前台比较慢', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '老酒店，离学校近，不错~', '短评打分': 4}
{'短评内容': '可以可以可以可以可以可以可以可以可以可以', '短评打分': 1}
{'短评内容': '前台服务人员很热情，回答各种问题，非常满意。', '短评打分': 5}
{'短评内容': '环境不错，服务态度好。', '短评打分': 5}
{'短评内容': '不错的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '老酒店，感觉主要给外国人住，环境不错，但是床太短太小了', '短评打分': 1}
{'短评内容': '老酒店了，曾经风光过。相当于较旧的设备，价格偏高。', '短评打分': 1}
{'短评内容': '酒店大堂不错，环境干净，服务态度很好。唯一不足的就是该酒店设备有些陈旧，卫生间淋浴花洒很小，洗澡是个问题。24小时的热水保障到可以。', '短评打分': 5}
{'短评内容': '京东上订酒店很方便的', '短评打分': 5}
{'短评内容': '房间大，安静。好。下次还要住。', '短评打分': 3}
{'短评内容': '第一次住。还可以。交通方便，吃饭也方便。可能还会来住。', '短评打分': 5}
{'短评内容': '硬件设施不错，服务等差一些，不然能上一个档次', '短评打分': 5}
{'短评内容': '地点在高新区,近靠一环路,交通方便,酒店房间还可以,就是没有免费的早餐,有点小遗憾.', '短评打分': 5}
{'短评内容': '感觉没有想像中的那么好，洗浴的地方感觉有点脏，不喜欢浴盆。', '短评打分': 3}
{'短评内容': '卫生还可以。不太方便打的。第二次去，比第一次去服务态度要好很多。', '短评打分': 5}
{'短评内容': '离西北工业大学友谊校区很近，周围吃的饭馆比较多。服务还行，卫生可以。', '短评打分': 5}
{'短评内容': '本酒店地处西安高新区入口，非常好，环境好，位置好，就是感觉价格有点贵', '短评打分': 5}
{'短评内容': '离高新不远，经常有航空公司的空姐入住。不过装修不是最新。服务还可以。价格也不离谱，如果在志诚丽柏订不到房，可以考虑', '短评打分': 5}
{'短评内容': '帮别人预定，预定人员反应及时，服务热情。该酒店是在西安高新区，离办事地点比较方便', '短评打分': 5}
{'短评内容': '飞机晚点没办法才住在那里，怎么看也不够四星！', '短评打分': 1}
{'短评内容': '已入住四间房并结帐', '短评打分': 3}
{'短评内容': '哎，我没让你人工叫醒服务，昨天夜里12点多到的，早晨7点打电话叫我起床。。。结账时看房费不对，就非常主动的告知前台我吃了早饭的钱没算进去，前台核对了半天，还是没收。。。。还浪费了大家的时间。。无语。设施旧可以理解，但是牙膏质量太差就无法让人理解了，牙要刷啊', '短评打分': 5}
{'短评内容': '今年去西安了几次，反正自己定的西安高新区挂牌四星的酒店都不怎么新，到时那些连锁假日酒店装修很新，不过这个比上次住的东方好多了，虽说也很旧，总体还行，下次会选择', '短评打分': 5}
{'短评内容': '设施老旧，早餐差，管理和服务与外资酒店相比还有相当的差距\n', '短评打分': 1}
{'短评内容': '离市中心较近，装修比较旧，服务管理一般，设施及不上没有新的四星级酒店。', '短评打分': 1}
{'短评内容': ' 各方面都达不到四星级标准。房间倒是一直很紧张，每次预定都要押信用卡担保，烦。', '短评打分': 3}
{'短评内容': ' 服务一般，房间很一直很紧张，每次预定都要压信用卡担保，麻烦', '短评打分': 3}
{'短评内容': '酒店内部 安静 整洁，虽然装修比较老。\n缺点：电源插座是德国标准，不方便。', '短评打分': 5}
{'短评内容': '太旧了，服务还可以，早餐真的很不咋地，离西北工大很近', '短评打分': 5}
{'短评内容': '+酒店不好', '短评打分': 5}
{'短评内容': '设施不好', '短评打分': 1}
{'短评内容': '是一家老酒店，环境老旧。', '短评打分': 1}
{'短评内容': '酒店一般，设施陈旧。', '短评打分': 1}
{'短评内容': '房间设施，服务都不错，早餐较差！', '短评打分': 5}
{'短评内容': '西高新的边上，如果去西高新不容易堵车，周边吃喝地方不少。\r\n性价比还不错。', '短评打分': 5}
{'短评内容': '中', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '设施陈旧，早餐简单，淋浴龙头难调整，基本不能使用', '短评打分': 1}
{'短评内容': '涉外酒店，服务不错，前台礼宾都还好。\r\n只是装修设施等旧了点。', '短评打分': 5}
{'短评内容': '也是客人去西安旅游，帮他们订的。地理位置不错，旅游方便。而且这样的价格，太便宜了。呵呵。', '短评打分': 3}
{'短评内容': '该酒店在卫生、服务、设施、位置、舒适度、性价比等方面都还不错，值得再次入住。', '短评打分': 5}
{'短评内容': '网络奇慢无比！装修有点旧了，性价比不高！', '短评打分': 1}
{'短评内容': '不错的一家酒店。不过这个价格，在西安，应该也可以住的很好了。', '短评打分': 5}
{'短评内容': '宽带速度非常慢,床垫不舒服,枕头倒是不错,装修比较老.', '短评打分': 1}
{'短评内容': '酒店很干净，环境很好，停车方便，保安很负责~有一天晚上车忘了锁门，保安在那守了一夜。服务很不错。就是早餐券有点不合理，一间房就一张券。以后还会考虑再来。', '短评打分': 5}
{'短评内容': '酒店各方面还可以.位置挺方便的.其它各方面还算是4星标准.总体感觉还行.', '短评打分': 3}
{'短评内容': '酒店很一般,除了位置比较好以外,比较符合我的要求；房间里的条件环境不怎么样；卫生间的热水一会凉一会热的；日用品也不齐全；', '短评打分': 3}
{'短评内容': '酒店的整体都比较差，卫生很脏的，设施也比较旧，服务很一般的，酒店的位置还可以的，', '短评打分': 5}
{'短评内容': '不错不错, &lt;br /&gt;\n就是靠马路边上的房间早上有点吵.', '短评打分': 3}
