{'短评内容': '位置练好，卫生不错，服务热情。', '短评打分': 5}
{'短评内容': '交通便利，卫生不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '除了卫生好点、其他台老旧了', '短评打分': 3}
{'短评内容': '房间没有电脑，其他还可以。', '短评打分': 4}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '三星给宾馆！京东满分！', '短评打分': 3}
{'短评内容': '三星是给宾馆的！实际房间没图片那么靓丽！开门进去一股骚味！京东满分！', '短评打分': 3}
{'短评内容': '酒店服务不错，下订单很快，很快就订好了', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间真的很不错，海洋风情房很温馨，应该是刚装修没有很久的～洗手间也蛮干净的，第二天房间还有水果，每天两瓶水，服务员跟前台的态度都很好。就是洗澡的时候，水会一阵热一阵凉的，两天都这样，我就订了两天！总体很满意～下次如果不住亲戚家，也还是住这里。有拍视频。但是忘记拍照片了，这个好可惜', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '差评！出差在这住宿好多次了，这次预定是住了2晚，酒店前台跟携程竟然说只住了一晚，携程客服目前服务很不负责，根本没有用心去核查酒店所说的入住情况！出差一般都通过携程预定酒店，可这次体验真差劲，必须差评！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置很好，衛生也可以。下次還會來住。', '短评打分': 4}
{'短评内容': '房间很好。交通方便。卫生干净。住的舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
