{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '连续两年来广州跑马拉松住这里，出行方便，周边美食有多，酒店很不错，考虑到跑马后洗澡，还可以延迟退房', '短评打分': 5}
{'短评内容': '位置不错，环境设施都不错，推荐', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '房间大，设备全，还有饮料送', '短评打分': 5}
{'短评内容': '不错的?，方便快捷，广州第一次来，也不知道怎么选酒店，觉得适合就下单了。', '短评打分': 5}
{'短评内容': '好，多次入住', '短评打分': 5}
{'短评内容': '不错、还可以', '短评打分': 5}
{'短评内容': '不错，住了几次都不错', '短评打分': 5}
{'短评内容': '酒店离地铁站走路10分钟，稍有点点远。酒店周围吃的很多，还有好多水果店。晚上挺安静的。我们选的是步梯间，要爬半级台阶。早上有免费早餐供应', '短评打分': 5}
{'短评内容': '环境不错，设施齐全，蓝牙音箱特别棒', '短评打分': 5}
{'短评内容': '整體滿意', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '非常不错的酒店，地理位置好，性价比超高，服务也棒，卫生干净，周边美食众多', '短评打分': 5}
{'短评内容': '这家和前一晚住的广州白云机场附近的桔子水晶，感觉很像，都很干净，进门就有音乐，虽是无窗房，但是房间不逼仄，交通的话，大概要走10多分钟到地铁，还是挺方便的。大堂也蛮好的。', '短评打分': 5}
{'短评内容': '房间很干净，而且豪华房可以加床，非常不错，有免费的水，和水果，广州很好玩，喜欢来这里玩，下回来广州还会再到这里，很满意', '短评打分': 5}
{'短评内容': '就是设施不好，厕所还是坏的，东西陈旧。还好只是住一晚的，赶出差的。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置有点儿偏，很难找。', '短评打分': 4}
{'短评内容': '性价比高，房间内设施齐备，酒店外环境一般，但交通、饮食方便。', '短评打分': 3}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '房间比较干净', '短评打分': 3}
{'短评内容': '不错，出行方便  有点旧了 价格适中，下次有机会再去', '短评打分': 5}
{'短评内容': '位置比较好，但是门前龙口西路是单行道，还经常塞车，要有心理准备。', '短评打分': 5}
{'短评内容': '方便，服务好。', '短评打分': 3}
{'短评内容': ' 房间有点旧', '短评打分': 3}
{'短评内容': '還不錯，房間設備齊全。', '短评打分': 3}
{'短评内容': '还不错，地毯比较旧，建议换一下，位置还行', '短评打分': 5}
{'短评内容': ' 卫生要加强', '短评打分': 3}
{'短评内容': '最大問題是衛生問題，床單不乾淨，感覺有點潮的樣子。被子上面有各種污漬，例如小量血漬，或茶漬。換了一張還是這樣的。', '短评打分': 1}
{'短评内容': '挺不错的酒店~', '短评打分': 3}
{'短评内容': ' 卫生要加强，用品有点旧', '短评打分': 3}
{'短评内容': ' 还可以 卫生要改进', '短评打分': 3}
{'短评内容': ' 有点旧', '短评打分': 3}
{'短评内容': ' 还行 有点旧', '短评打分': 3}
{'短评内容': '早餐需改进，样式选择太少了！\n如能提供诸如稀饭、青菜、面包牛奶等基本品种就好了。', '短评打分': 5}
{'短评内容': '早餐15元一份，为一楼咖啡厅用餐，选择不多，且有点吃不饱。\n其他都还不错。', '短评打分': 5}
{'短评内容': '环境不错 交通也算方便 都挺好 就是隔音不太好！', '短评打分': 5}
{'短评内容': '酒店无窗，通风不好', '短评打分': 3}
{'短评内容': '四楼是棋牌室，还是住2楼的好，2楼比3楼新，我住的212卫生间有臭味', '短评打分': 5}
{'短评内容': '感觉不错哦。。。继续给力！各个方面都还不错，值得出行住宿、商务等。。', '短评打分': 5}
{'短评内容': '不知是不是到了小强繁殖的季节，经常看到墙壁上有。这个价位没有早餐，性价比不是太高，好在附近餐饮购物还算方便。', '短评打分': 5}
{'短评内容': '价格相对来讲高了一点点，不过房间还算整洁~就是沙发和椅子上面厚厚的一层灰，弄得我找了条毛巾擦了好几遍才擦干净~这一点确实是值得改进的地方，楼下的西餐厅比较单调，没什么吃的，不好好在走边的便利店较多，买东西很方便，还有就是离石牌很近，吃东西的话，可以走过石牌东路那边找吃的。总体算还行吧', '短评打分': 5}
{'短评内容': '总体感觉不错，周边比较方便，电脑房加30元一天比较灵活。这个酒店的房打长途免费，值得表扬，虽然价格比七天等连锁酒店要贵些。如果酒店的价格再降下来些就更好了，更具有吸引力。', '短评打分': 5}
{'短评内容': '酒店在天河的位置来说性价比较高，主要有免费停车，很方便。', '短评打分': 5}
{'短评内容': '酒店不错，闹中取静，服务也好，要是提供早餐就更好了。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '地理位置和房间都是比较好的。但是其他柏高加盟的店就不行了。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '环境不错，房间很干净，不过就是房与房之间的隔音不是很好，不过总体还是可以的', '短评打分': 5}
{'短评内容': '房间很不错，位置也好，离赛格不远，就是上网用酒店的电脑还要收费。。好在自己带了电脑。。', '短评打分': 5}
{'短评内容': '非常不错。环境优雅。我很喜欢！有机会我还来！', '短评打分': 5}
{'短评内容': '位置在岗顶附近，闹中取静，酒店很干净，服务也不错，推荐。', '短评打分': 5}
{'短评内容': '设施不错 ,性 价 比 还 可 以 .就 是 空 调 很 响 ,还 好 不 是 很 热 ,可 以 不 用 开 .还 有 就 是位 置 不 是 很 好 找 .', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '房间比较宽敞，但光线太暗了。前台服务冷淡，楼道气味也不好。', '短评打分': 1}
{'短评内容': '非常舒适的酒店，适合家庭或朋友旅游住宿。', '短评打分': 3}
{'短评内容': '不错的酒店，闹中取静', '短评打分': 5}
{'短评内容': '酒店比较舒适，离地铁3号线岗顶站大概十分钟路程，交通便利。下次还会选择。', '短评打分': 5}
{'短评内容': '我认为环境还可以，但就是房间空间有点小，人员的服务感觉一般', '短评打分': 3}
{'短评内容': '隔音较差，窗外空调主机噪音严重。', '短评打分': 5}
{'短评内容': '酒店挺不错的,比较新,房间很干净,价格也很便宜,只是打车不方便', '短评打分': 5}
{'短评内容': '酒店的服务挺好，房间也整体干净，交通也算方便，就是价格高了点，性价比不合适。', '短评打分': 1}
{'短评内容': '酒店很干净,价格也比较便宜,而且位置也不错,交通很方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
